Training console diary: C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260706_102951_td3_mathworks_style_pi_current_1d_500hz_near_upright_imeas_scratch\training_console.log
Starting parallel pool (parpool) using the 'Processes' profile ...
Preserving jobs with IDs: 1 because they contain crash dump files.
You can use 'delete(myCluster.Jobs)' to remove all jobs created with profile Processes. To create 'myCluster' use 'myCluster = parcluster('Processes')'.
Connected to parallel pool with 22 workers.
Episode:   1/1500 | Episode reward:    80.83 | Episode steps:  116 | Average reward:    80.83 | Step Count:  116 | Episode Q0:     0.02
Episode:   2/1500 | Episode reward:   174.40 | Episode steps:  219 | Average reward:   127.61 | Step Count:  335 | Episode Q0:     0.02
Episode:   3/1500 | Episode reward:   228.92 | Episode steps:  307 | Average reward:   161.38 | Step Count:  642 | Episode Q0:     0.02
Episode:   4/1500 | Episode reward:   279.25 | Episode steps:  390 | Average reward:   190.85 | Step Count: 1032 | Episode Q0:     0.02
Episode:   5/1500 | Episode reward:   257.05 | Episode steps:  333 | Average reward:   204.09 | Step Count: 1365 | Episode Q0:     0.02
Episode:   6/1500 | Episode reward:   257.85 | Episode steps:  310 | Average reward:   213.05 | Step Count: 1675 | Episode Q0:     0.02
Episode:   7/1500 | Episode reward:   211.99 | Episode steps:  325 | Average reward:   212.90 | Step Count: 2000 | Episode Q0:     0.02
Episode:   8/1500 | Episode reward:   134.34 | Episode steps:  173 | Average reward:   203.08 | Step Count: 2173 | Episode Q0:     0.02
Episode:   9/1500 | Episode reward:   245.46 | Episode steps:  387 | Average reward:   207.79 | Step Count: 2560 | Episode Q0:     0.02
Episode:  10/1500 | Episode reward:   127.02 | Episode steps:  185 | Average reward:   199.71 | Step Count: 2745 | Episode Q0:     0.02
Episode:  11/1500 | Episode reward:   151.20 | Episode steps:  191 | Average reward:   206.75 | Step Count: 2936 | Episode Q0:     0.02
Episode:  12/1500 | Episode reward:   270.48 | Episode steps:  358 | Average reward:   216.36 | Step Count: 3294 | Episode Q0:     0.02
Episode:  13/1500 | Episode reward:    79.52 | Episode steps:  119 | Average reward:   201.42 | Step Count: 3413 | Episode Q0:     0.02
Episode:  14/1500 | Episode reward:   368.62 | Episode steps:  498 | Average reward:   210.35 | Step Count: 3911 | Episode Q0:     0.02
Episode:  15/1500 | Episode reward:   264.59 | Episode steps:  338 | Average reward:   211.11 | Step Count: 4249 | Episode Q0:     0.02
Episode:  16/1500 | Episode reward:   229.68 | Episode steps:  280 | Average reward:   208.29 | Step Count: 4529 | Episode Q0:     0.02
Episode:  17/1500 | Episode reward:   339.80 | Episode steps:  461 | Average reward:   221.07 | Step Count: 4990 | Episode Q0:     0.02
Episode:  18/1500 | Episode reward:   560.15 | Episode steps:  671 | Average reward:   263.65 | Step Count: 5661 | Episode Q0:     0.02
Episode:  19/1500 | Episode reward:   228.65 | Episode steps:  303 | Average reward:   261.97 | Step Count: 5964 | Episode Q0:     0.02
Episode:  20/1500 | Episode reward:   321.83 | Episode steps:  418 | Average reward:   281.45 | Step Count: 6382 | Episode Q0:     0.40
Episode:  21/1500 | Episode reward:   160.71 | Episode steps:  208 | Average reward:   282.40 | Step Count: 6590 | Episode Q0:     0.40
Episode:  22/1500 | Episode reward:   155.54 | Episode steps:  288 | Average reward:   270.91 | Step Count: 6878 | Episode Q0:     0.40
Episode:  23/1500 | Episode reward:   297.99 | Episode steps:  463 | Average reward:   292.76 | Step Count: 7341 | Episode Q0:     0.40
Episode:  24/1500 | Episode reward:   139.73 | Episode steps:  178 | Average reward:   269.87 | Step Count: 7519 | Episode Q0:     0.40
Episode:  25/1500 | Episode reward:   137.78 | Episode steps:  172 | Average reward:   257.19 | Step Count: 7691 | Episode Q0:     0.40
Episode:  26/1500 | Episode reward:   267.65 | Episode steps:  374 | Average reward:   260.98 | Step Count: 8065 | Episode Q0:     0.40
Episode:  27/1500 | Episode reward:   236.75 | Episode steps:  307 | Average reward:   250.68 | Step Count: 8372 | Episode Q0:     0.40
Episode:  28/1500 | Episode reward:   131.44 | Episode steps:  160 | Average reward:   207.81 | Step Count: 8532 | Episode Q0:     0.40
Episode:  29/1500 | Episode reward:   164.53 | Episode steps:  233 | Average reward:   201.39 | Step Count: 8765 | Episode Q0:     0.40
Episode:  30/1500 | Episode reward:   296.63 | Episode steps:  440 | Average reward:   198.88 | Step Count: 9205 | Episode Q0:     0.40
Episode:  31/1500 | Episode reward:   114.74 | Episode steps:  140 | Average reward:   194.28 | Step Count: 9345 | Episode Q0:     0.40
Episode:  32/1500 | Episode reward:   157.92 | Episode steps:  191 | Average reward:   194.52 | Step Count: 9536 | Episode Q0:     0.40
Episode:  33/1500 | Episode reward:   412.79 | Episode steps:  501 | Average reward:   206.00 | Step Count: 10037 | Episode Q0:     0.40
Episode:  34/1500 | Episode reward:   126.69 | Episode steps:  151 | Average reward:   204.69 | Step Count: 10188 | Episode Q0:     0.40
Episode:  35/1500 | Episode reward:   332.48 | Episode steps:  461 | Average reward:   224.16 | Step Count: 10649 | Episode Q0:     0.40
Episode:  36/1500 | Episode reward:   222.56 | Episode steps:  288 | Average reward:   219.65 | Step Count: 10937 | Episode Q0:     0.40
Episode:  37/1500 | Episode reward:   181.35 | Episode steps:  232 | Average reward:   214.11 | Step Count: 11169 | Episode Q0:     0.40
Episode:  38/1500 | Episode reward:   148.51 | Episode steps:  204 | Average reward:   215.82 | Step Count: 11373 | Episode Q0:     0.40
Episode:  39/1500 | Episode reward:   313.79 | Episode steps:  413 | Average reward:   230.75 | Step Count: 11786 | Episode Q0:     0.40
Episode:  40/1500 | Episode reward:   206.81 | Episode steps:  302 | Average reward:   221.76 | Step Count: 12088 | Episode Q0:     0.40
Episode:  41/1500 | Episode reward:   147.62 | Episode steps:  205 | Average reward:   225.05 | Step Count: 12293 | Episode Q0:     0.40
Episode:  42/1500 | Episode reward:   134.53 | Episode steps:  166 | Average reward:   222.71 | Step Count: 12459 | Episode Q0:     0.40
Episode:  43/1500 | Episode reward:   143.52 | Episode steps:  177 | Average reward:   195.79 | Step Count: 12636 | Episode Q0:     0.40
Episode:  44/1500 | Episode reward:   122.90 | Episode steps:  160 | Average reward:   195.41 | Step Count: 12796 | Episode Q0:     0.40
Episode:  45/1500 | Episode reward:   220.07 | Episode steps:  320 | Average reward:   184.17 | Step Count: 13116 | Episode Q0:     0.40
Episode:  46/1500 | Episode reward:   187.43 | Episode steps:  259 | Average reward:   180.65 | Step Count: 13375 | Episode Q0:     0.40
Episode:  47/1500 | Episode reward:   101.19 | Episode steps:  147 | Average reward:   172.64 | Step Count: 13522 | Episode Q0:     0.40
Episode:  48/1500 | Episode reward:   136.53 | Episode steps:  191 | Average reward:   171.44 | Step Count: 13713 | Episode Q0:     0.63
Episode:  49/1500 | Episode reward:    99.71 | Episode steps:  134 | Average reward:   150.03 | Step Count: 13847 | Episode Q0:     0.63
Episode:  50/1500 | Episode reward:   132.75 | Episode steps:  174 | Average reward:   142.63 | Step Count: 14021 | Episode Q0:     0.63
Episode:  51/1500 | Episode reward:   135.13 | Episode steps:  178 | Average reward:   141.38 | Step Count: 14199 | Episode Q0:     0.63
Episode:  52/1500 | Episode reward:   100.70 | Episode steps:  150 | Average reward:   137.99 | Step Count: 14349 | Episode Q0:     0.63
Episode:  53/1500 | Episode reward:    86.60 | Episode steps:  124 | Average reward:   132.30 | Step Count: 14473 | Episode Q0:     0.63
Episode:  54/1500 | Episode reward:   103.77 | Episode steps:  137 | Average reward:   130.39 | Step Count: 14610 | Episode Q0:     0.63
Episode:  55/1500 | Episode reward:   160.27 | Episode steps:  223 | Average reward:   124.41 | Step Count: 14833 | Episode Q0:     0.63
Episode:  56/1500 | Episode reward:   113.92 | Episode steps:  154 | Average reward:   117.06 | Step Count: 14987 | Episode Q0:     0.63
Episode:  57/1500 | Episode reward:   104.88 | Episode steps:  143 | Average reward:   117.43 | Step Count: 15130 | Episode Q0:     0.63
Episode:  58/1500 | Episode reward:   127.32 | Episode steps:  171 | Average reward:   116.51 | Step Count: 15301 | Episode Q0:     0.63
Episode:  59/1500 | Episode reward:   115.72 | Episode steps:  161 | Average reward:   118.11 | Step Count: 15462 | Episode Q0:     0.63
Episode:  60/1500 | Episode reward:   132.84 | Episode steps:  174 | Average reward:   118.12 | Step Count: 15636 | Episode Q0:     0.63
Episode:  61/1500 | Episode reward:   115.53 | Episode steps:  164 | Average reward:   116.16 | Step Count: 15800 | Episode Q0:     0.63
Episode:  62/1500 | Episode reward:   175.81 | Episode steps:  234 | Average reward:   123.67 | Step Count: 16034 | Episode Q0:     0.63
Episode:  63/1500 | Episode reward:   135.60 | Episode steps:  180 | Average reward:   128.57 | Step Count: 16214 | Episode Q0:     0.63
Episode:  64/1500 | Episode reward:    98.17 | Episode steps:  151 | Average reward:   128.01 | Step Count: 16365 | Episode Q0:     0.63
Episode:  65/1500 | Episode reward:    95.59 | Episode steps:  154 | Average reward:   121.54 | Step Count: 16519 | Episode Q0:     0.63
Episode:  66/1500 | Episode reward:   102.16 | Episode steps:  163 | Average reward:   120.36 | Step Count: 16682 | Episode Q0:     0.63
Episode:  67/1500 | Episode reward:    91.90 | Episode steps:  148 | Average reward:   119.06 | Step Count: 16830 | Episode Q0:     0.63
Episode:  68/1500 | Episode reward:   139.14 | Episode steps:  226 | Average reward:   120.25 | Step Count: 17056 | Episode Q0:     0.63
Episode:  69/1500 | Episode reward:   116.50 | Episode steps:  187 | Average reward:   120.32 | Step Count: 17243 | Episode Q0:     0.63
Episode:  70/1500 | Episode reward:   173.83 | Episode steps:  341 | Average reward:   124.42 | Step Count: 17584 | Episode Q0:     0.63
Episode:  71/1500 | Episode reward:   115.10 | Episode steps:  178 | Average reward:   124.38 | Step Count: 17762 | Episode Q0:     0.63
Episode:  72/1500 | Episode reward:    93.63 | Episode steps:  147 | Average reward:   116.16 | Step Count: 17909 | Episode Q0:     0.63
Episode:  73/1500 | Episode reward:    99.31 | Episode steps:  167 | Average reward:   112.53 | Step Count: 18076 | Episode Q0:     0.63
Episode:  74/1500 | Episode reward:    85.77 | Episode steps:  129 | Average reward:   111.29 | Step Count: 18205 | Episode Q0:     0.63
Episode:  75/1500 | Episode reward:   100.80 | Episode steps:  148 | Average reward:   111.81 | Step Count: 18353 | Episode Q0:     0.63
Episode:  76/1500 | Episode reward:    83.16 | Episode steps:  131 | Average reward:   109.91 | Step Count: 18484 | Episode Q0:     0.63
Episode:  77/1500 | Episode reward:    80.51 | Episode steps:  131 | Average reward:   108.78 | Step Count: 18615 | Episode Q0:     0.63
Episode:  78/1500 | Episode reward:    96.62 | Episode steps:  144 | Average reward:   104.52 | Step Count: 18759 | Episode Q0:     0.63
Episode:  79/1500 | Episode reward:    82.43 | Episode steps:  140 | Average reward:   101.12 | Step Count: 18899 | Episode Q0:     0.63
Episode:  80/1500 | Episode reward:    91.37 | Episode steps:  140 | Average reward:    92.87 | Step Count: 19039 | Episode Q0:     0.92
Episode:  81/1500 | Episode reward:   114.49 | Episode steps:  163 | Average reward:    92.81 | Step Count: 19202 | Episode Q0:     0.92
Episode:  82/1500 | Episode reward:   111.08 | Episode steps:  168 | Average reward:    94.56 | Step Count: 19370 | Episode Q0:     0.92
Episode:  83/1500 | Episode reward:   107.97 | Episode steps:  164 | Average reward:    95.42 | Step Count: 19534 | Episode Q0:     0.92
Episode:  84/1500 | Episode reward:    78.55 | Episode steps:  127 | Average reward:    94.70 | Step Count: 19661 | Episode Q0:     0.92
Episode:  85/1500 | Episode reward:   108.25 | Episode steps:  167 | Average reward:    95.44 | Step Count: 19828 | Episode Q0:     0.92
Episode:  86/1500 | Episode reward:   114.58 | Episode steps:  181 | Average reward:    98.59 | Step Count: 20009 | Episode Q0:     0.92
Episode:  87/1500 | Episode reward:    95.28 | Episode steps:  148 | Average reward:   100.06 | Step Count: 20157 | Episode Q0:     0.92
Episode:  88/1500 | Episode reward:   117.05 | Episode steps:  183 | Average reward:   102.11 | Step Count: 20340 | Episode Q0:     0.92
Episode:  89/1500 | Episode reward:    87.61 | Episode steps:  139 | Average reward:   102.62 | Step Count: 20479 | Episode Q0:     0.92
Episode:  90/1500 | Episode reward:   149.28 | Episode steps:  269 | Average reward:   108.41 | Step Count: 20748 | Episode Q0:     0.92
Episode:  91/1500 | Episode reward:    94.66 | Episode steps:  158 | Average reward:   106.43 | Step Count: 20906 | Episode Q0:     0.92
Episode:  92/1500 | Episode reward:    79.50 | Episode steps:  134 | Average reward:   103.27 | Step Count: 21040 | Episode Q0:     0.92
Episode:  93/1500 | Episode reward:   137.28 | Episode steps:  220 | Average reward:   106.20 | Step Count: 21260 | Episode Q0:     0.92
Episode:  94/1500 | Episode reward:    99.34 | Episode steps:  148 | Average reward:   108.28 | Step Count: 21408 | Episode Q0:     0.92
Episode:  95/1500 | Episode reward:   112.33 | Episode steps:  175 | Average reward:   108.69 | Step Count: 21583 | Episode Q0:     0.92
Episode:  96/1500 | Episode reward:   111.41 | Episode steps:  177 | Average reward:   108.37 | Step Count: 21760 | Episode Q0:     0.92
Episode:  97/1500 | Episode reward:    98.61 | Episode steps:  160 | Average reward:   108.71 | Step Count: 21920 | Episode Q0:     0.92
Episode:  98/1500 | Episode reward:   118.60 | Episode steps:  175 | Average reward:   108.86 | Step Count: 22095 | Episode Q0:     0.92
Episode:  99/1500 | Episode reward:    98.76 | Episode steps:  155 | Average reward:   109.98 | Step Count: 22250 | Episode Q0:     0.92
Episode: 100/1500 | Episode reward:   117.14 | Episode steps:  182 | Average reward:   106.76 | Step Count: 22432 | Episode Q0:     0.92
Episode: 101/1500 | Episode reward:   121.65 | Episode steps:  176 | Average reward:   109.46 | Step Count: 22608 | Episode Q0:     0.92
Episode: 102/1500 | Episode reward:    80.03 | Episode steps:  127 | Average reward:   109.51 | Step Count: 22735 | Episode Q0:     0.92
Episode: 103/1500 | Episode reward:   104.66 | Episode steps:  157 | Average reward:   106.25 | Step Count: 22892 | Episode Q0:     0.92
Episode: 104/1500 | Episode reward:    87.82 | Episode steps:  145 | Average reward:   105.10 | Step Count: 23037 | Episode Q0:     0.92
Episode: 105/1500 | Episode reward:    83.74 | Episode steps:  133 | Average reward:   102.24 | Step Count: 23170 | Episode Q0:     0.92
Episode: 106/1500 | Episode reward:   117.52 | Episode steps:  175 | Average reward:   102.85 | Step Count: 23345 | Episode Q0:     0.92
Episode: 107/1500 | Episode reward:   105.23 | Episode steps:  156 | Average reward:   103.51 | Step Count: 23501 | Episode Q0:     0.92
Episode: 108/1500 | Episode reward:   106.50 | Episode steps:  166 | Average reward:   102.30 | Step Count: 23667 | Episode Q0:     0.92
Episode: 109/1500 | Episode reward:   100.85 | Episode steps:  148 | Average reward:   102.51 | Step Count: 23815 | Episode Q0:     0.92
Episode: 110/1500 | Episode reward:   120.39 | Episode steps:  183 | Average reward:   102.84 | Step Count: 23998 | Episode Q0:     0.92
Episode: 111/1500 | Episode reward:   114.05 | Episode steps:  183 | Average reward:   102.08 | Step Count: 24181 | Episode Q0:     0.92
Episode: 112/1500 | Episode reward:   107.58 | Episode steps:  170 | Average reward:   104.83 | Step Count: 24351 | Episode Q0:     0.92
Episode: 113/1500 | Episode reward:   119.00 | Episode steps:  180 | Average reward:   106.27 | Step Count: 24531 | Episode Q0:     0.92
Episode: 114/1500 | Episode reward:   123.88 | Episode steps:  202 | Average reward:   109.88 | Step Count: 24733 | Episode Q0:     1.29
Episode: 115/1500 | Episode reward:   157.68 | Episode steps:  233 | Average reward:   117.27 | Step Count: 24966 | Episode Q0:     1.29
Episode: 116/1500 | Episode reward:   100.41 | Episode steps:  156 | Average reward:   115.56 | Step Count: 25122 | Episode Q0:     1.29
Episode: 117/1500 | Episode reward:    95.88 | Episode steps:  161 | Average reward:   114.62 | Step Count: 25283 | Episode Q0:     1.29
Episode: 118/1500 | Episode reward:   109.83 | Episode steps:  165 | Average reward:   114.96 | Step Count: 25448 | Episode Q0:     1.29
Episode: 119/1500 | Episode reward:    94.73 | Episode steps:  160 | Average reward:   114.34 | Step Count: 25608 | Episode Q0:     1.29
Episode: 120/1500 | Episode reward:   235.23 | Episode steps:  382 | Average reward:   125.83 | Step Count: 25990 | Episode Q0:     1.29
Episode: 121/1500 | Episode reward:    97.90 | Episode steps:  152 | Average reward:   124.21 | Step Count: 26142 | Episode Q0:     1.29
Episode: 122/1500 | Episode reward:   181.31 | Episode steps:  312 | Average reward:   131.58 | Step Count: 26454 | Episode Q0:     1.29
Episode: 123/1500 | Episode reward:    92.58 | Episode steps:  144 | Average reward:   128.94 | Step Count: 26598 | Episode Q0:     1.29
