CaseID,Theta1Error0,Theta2Error0,Omega1Error0,Omega2Error0,EvalSetName,SimTime,NumSamples,MaxAbsTheta1,MaxAbsTheta2Error,MaxAbsOmegaError,MaxAbsOmega1Error,MaxAbsOmega2Error,Theta2IAE,Theta2ISE,Theta1IAE,SettlingTimeTheta2,SettlingTimeTheta2Pct2,SettlingTimeBoth,FinalTheta2MAE,FinalTheta1MAE,FinalTheta2Bias,FinalTheta1Bias,FinalTheta2MaxAbsError,Theta2EndRMS,Theta2EndOscRMS,Theta2EndPeakToPeak,Theta2EndOscFreqHz,ActionEnergy,TorqueCommandEnergy,TorqueEnergy,CurrentEnergy,VoltageEnergy,ElectricalAbsEnergy,MeanAbsElectricalPower,DActionEnergy,DTorqueCommandEnergy,ActionDiffRMS,ActionEndRMS,ActionEndOscRMS,ActionEndPeakToPeak,ActionEndOscFreqHz,Terminated,Failed,CaseCost,ControllerName,StageIndex,StageName,TrainingEpisode,EvaluatedAt
1,-0.785398163397448,-3.14159265358979,-5,-10,full_final,5,2501,0.84255966970022,3.14159265358979,29.6959769258883,19.595904448986,29.6959769258883,6.54509321783532,12.4613104606657,1.31699506124388,NaN,NaN,NaN,1.24885642014881,0.254812200821331,-0.118094483273539,-0.213015985370436,3.12619030479568,1.53989862413029,1.53266810271121,6.26372909545898,2,0.991698070046163,15.8671691207386,0.148996743484425,15.6735561850809,324.785727681618,71.1818998392996,14.2363799678599,0.136289019421644,2.18062431074631,0.165099375784189,0.445878682930943,0.445751313026967,1.84140700101852,16.5,0,0,54.3852924695377,TD3,NaN,mathworks_style_single_run,NaN,04-Jul-2026 01:52:01
2,-0.785398163397448,-3.14159265358979,-5,0,full_final,5,2501,0.844998860382917,3.14159265358979,36.4483062326194,22.1245874330032,36.4483062326194,7.93439418731246,16.2443302749268,1.26645286103035,NaN,NaN,NaN,1.30426819621893,0.266884390416878,-0.167377376768955,-0.206872684758646,3.13837149144009,1.58327834398774,1.57315986138478,6.27746438980103,2,1.04988655232099,16.7981848371359,0.15710061907328,16.5260348795035,342.111646458473,75.0469204745785,15.0093840949157,0.148205152568678,2.37128244109884,0.172165706555445,0.454553013652676,0.45377449987289,1.8585946559906,16,0,0,58.3097667638834,TD3,NaN,mathworks_style_single_run,NaN,04-Jul-2026 01:52:00
3,-0.785398163397448,-3.14159265358979,-5,10,full_final,5,2501,1.2630425614303,3.14159265358979,35.7917856451527,22.8599734410197,35.7917856451527,7.33501723498831,14.4884152759135,1.47320393535215,NaN,NaN,NaN,1.41559345057264,0.28305970883624,0.144308051499504,-0.249492870902539,3.1361070712223,1.65463147880713,1.65052986476434,6.25766528446415,2.5,1.07024894721337,17.1239831554139,0.159427344616219,16.770792333067,347.477802763853,76.181248130282,15.2362496260564,0.149837763718802,2.39740421950082,0.17311138825554,0.455465984495073,0.45524271212368,1.87052595615387,17,0,0,59.4299673160505,TD3,NaN,mathworks_style_single_run,NaN,04-Jul-2026 01:52:08
4,-0.785398163397448,-3.14159265358979,0,-10,full_final,5,2501,0.797648821222638,3.14159265358979,35.3536028760041,20.4794266738173,35.3536028760041,6.8776736701851,13.1436132873048,1.08303034272502,NaN,NaN,NaN,1.32609837884725,0.297640279681233,0.107878852731179,-0.26167375085304,3.12846442064967,1.55819605906283,1.55667522785816,6.25470638275146,2,1.0672205338521,17.0755285416335,0.159824748017722,16.8125967671503,348.174640933606,76.3518028005826,15.2703605601165,0.149967970871964,2.39948753395142,0.173186587743949,0.460245572178661,0.459853603165452,1.87042814493179,17,0,0,56.492131463815,TD3,NaN,mathworks_style_single_run,NaN,04-Jul-2026 01:52:01
5,-0.785398163397448,-3.14159265358979,0,0,full_final,5,2501,1.56015355555785,3.14159265358979,29.7306030060936,21.5093548889334,29.7306030060936,7.92291691507094,16.7280201043713,2.00221942614799,NaN,NaN,NaN,1.28704564026302,0.258866311793969,-0.162330967249899,-0.193630029537355,3.11567424930218,1.58079498271097,1.56945247500576,6.23831046421268,2,1.1644869435368,18.6317910965888,0.174267473889284,18.3318841698129,379.753023219093,83.2567633694127,16.6513526738825,0.164335852822455,2.62937364515928,0.181293051616688,0.454566232988119,0.453823478101429,1.86227440834045,17,0,0,58.2000879276583,TD3,NaN,mathworks_style_single_run,NaN,04-Jul-2026 01:52:08
6,-0.785398163397448,-3.14159265358979,0,10,full_final,5,2501,0.92264931692351,3.14159265358979,35.7886501677845,21.7691134822557,35.7886501677845,7.44865853677656,14.7617872251815,1.33275881740081,NaN,NaN,NaN,1.41329941803167,0.266972120300741,-0.278798781497823,-0.23175146993374,3.1368891795608,1.69933096315971,1.69796574762222,6.23982971509825,2.5,1.0511925266227,16.8190804259632,0.157295807047884,16.5465674738077,342.77539924909,75.1651426905426,15.0330285381085,0.142411836270036,2.27858938032057,0.168767198394733,0.47257817744355,0.4725745927749,1.85067105293274,18,0,0,59.5441015050227,TD3,NaN,mathworks_style_single_run,NaN,04-Jul-2026 01:52:01
7,-0.785398163397448,-3.14159265358979,5,-10,full_final,5,2501,0.836312854246513,3.14159265358979,33.9693705328773,21.7549988168071,33.9693705328773,7.67877281544632,15.4930781504909,1.25435228678037,NaN,NaN,NaN,1.26748922909286,0.248075235251475,-0.150662142675328,-0.193505231218238,3.13402740952982,1.55712489401222,1.54756191542604,6.24422133762577,2,0.910316349447585,14.5650615911614,0.136577913285961,14.3671703653871,297.701584193185,65.264481881629,13.0528963763258,0.124698412685508,1.99517460296813,0.157923027254107,0.449755330652662,0.449369019226404,1.87196910381317,16.5,0,0,57.0307710363862,TD3,NaN,mathworks_style_single_run,NaN,04-Jul-2026 01:52:01
8,-0.785398163397448,-3.14159265358979,5,0,full_final,5,2501,1.39356180596008,3.14159265358979,31.6443054200699,22.3981193970605,31.6443054200699,7.43801114883435,15.1727630604161,1.53877460113273,NaN,NaN,NaN,1.35106241506309,0.255459921757331,-0.221157640677016,-0.205999302813242,3.12265594007956,1.67008917019226,1.65563294617236,6.23528666494696,2.5,1.09957741586501,17.5932386538401,0.164386840759816,17.2925013291062,358.230598463283,78.5343940823371,15.7068788164674,0.156630500418095,2.50608800668953,0.176991807956241,0.478197729453424,0.478060050467002,1.85134065151215,17.5,0,0,58.3120393340125,TD3,NaN,mathworks_style_single_run,NaN,04-Jul-2026 01:52:00
9,-0.785398163397448,-3.14159265358979,5,10,full_final,5,2501,0.90844258617118,3.14159265358979,34.6579103625368,21.7966688331873,34.6579103625368,6.94882017632423,13.2002353849632,1.35612361694971,NaN,NaN,NaN,1.37648938082126,0.290101708727425,0.146519529035112,-0.252782350571166,3.12625114915384,1.60490591858811,1.60148417028226,6.23477935791016,2,0.84239408916123,13.4783054265797,0.126506588525446,13.3077279185216,275.849153966933,60.460460405265,12.092092081053,0.11120099348412,1.77921589574591,0.149131481239958,0.452751183618141,0.452288231863943,1.87402296066284,16.5,0,0,57.7605162815186,TD3,NaN,mathworks_style_single_run,NaN,04-Jul-2026 01:52:08
10,-0.785398163397448,-2.35619449019234,-5,-10,full_final,5,2501,0.850137639610445,3.14159265358979,36.1209354746443,23.9204734695868,36.1209354746443,6.55739212031739,12.3492518062805,1.25712583145546,NaN,NaN,NaN,1.29524578608005,0.28822133809688,0.0628712415972617,-0.247034299360826,3.12507366336468,1.53856394767447,1.53804832849318,6.2322775204871,2,1.09447021671815,17.5115234674904,0.16425708173349,17.2788514644039,357.615947494264,78.4449967007926,15.6889993401585,0.148604918103129,2.37767868965007,0.172397748304976,0.467252119452099,0.467073307582933,1.87321352958679,17.5,0,0,55.3049173947705,TD3,NaN,mathworks_style_single_run,NaN,04-Jul-2026 01:52:01
