Training console diary: C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260708_141159_td3_mathworks_style_pi_current_1c_500hz_theta1_offset_gentle\training_console.log
Episode:  45/2000 | Episode reward:  1954.70 | Episode steps: 2500 | Average reward:  1991.98 | Step Count: 112500 | Episode Q0:    67.39
Episode:  46/2000 | Episode reward:   -21.39 | Episode steps:   18 | Average reward:  1790.41 | Step Count: 112518 | Episode Q0:    67.39
Episode:  47/2000 | Episode reward:   -36.29 | Episode steps:   21 | Average reward:  1587.62 | Step Count: 112539 | Episode Q0:    67.39
Episode:  48/2000 | Episode reward:   -33.63 | Episode steps:   21 | Average reward:  1384.79 | Step Count: 112560 | Episode Q0:    67.39
Episode:  49/2000 | Episode reward:   -23.25 | Episode steps:   19 | Average reward:  1182.98 | Step Count: 112579 | Episode Q0:    67.39
Episode:  50/2000 | Episode reward:   -21.55 | Episode steps:   19 | Average reward:   981.47 | Step Count: 112598 | Episode Q0:    67.39
Episode:  51/2000 | Episode reward:   -33.05 | Episode steps:   22 | Average reward:   777.95 | Step Count: 112620 | Episode Q0:    67.39
Episode:  52/2000 | Episode reward:   -33.05 | Episode steps:   20 | Average reward:   574.48 | Step Count: 112640 | Episode Q0:    67.39
Episode:  53/2000 | Episode reward:   -22.57 | Episode steps:   19 | Average reward:   372.78 | Step Count: 112659 | Episode Q0:    67.39
Episode:  54/2000 | Episode reward:   -21.84 | Episode steps:   18 | Average reward:   170.81 | Step Count: 112677 | Episode Q0:    67.39
Episode:  55/2000 | Episode reward:   -22.34 | Episode steps:   19 | Average reward:   -26.90 | Step Count: 112696 | Episode Q0:    67.39
Episode:  56/2000 | Episode reward:   -38.65 | Episode steps:   22 | Average reward:   -28.62 | Step Count: 112718 | Episode Q0:    67.39
Episode:  57/2000 | Episode reward:   -35.31 | Episode steps:   22 | Average reward:   -28.52 | Step Count: 112740 | Episode Q0:    67.39
Episode:  58/2000 | Episode reward:   -22.02 | Episode steps:   18 | Average reward:   -27.36 | Step Count: 112758 | Episode Q0:    67.39
Episode:  59/2000 | Episode reward:   -34.72 | Episode steps:   21 | Average reward:   -28.51 | Step Count: 112779 | Episode Q0:    67.39
Episode:  60/2000 | Episode reward:   -24.32 | Episode steps:   21 | Average reward:   -28.79 | Step Count: 112800 | Episode Q0:    67.39
Episode:  61/2000 | Episode reward:   -31.46 | Episode steps:   23 | Average reward:   -28.63 | Step Count: 112823 | Episode Q0:    67.39
Episode:  62/2000 | Episode reward:   -37.72 | Episode steps:   22 | Average reward:   -29.10 | Step Count: 112845 | Episode Q0:    67.39
Episode:  63/2000 | Episode reward:   -27.99 | Episode steps:   19 | Average reward:   -29.64 | Step Count: 112864 | Episode Q0:    89.54
Episode:  64/2000 | Episode reward:   -22.27 | Episode steps:   20 | Average reward:   -29.68 | Step Count: 112884 | Episode Q0:    89.54
Episode:  65/2000 | Episode reward:   -31.76 | Episode steps:   22 | Average reward:   -30.62 | Step Count: 112906 | Episode Q0:    89.54
Episode:  66/2000 | Episode reward:   -20.30 | Episode steps:   18 | Average reward:   -28.79 | Step Count: 112924 | Episode Q0:    89.54
Episode:  67/2000 | Episode reward:   158.80 | Episode steps:  320 | Average reward:    -9.38 | Step Count: 113244 | Episode Q0:    89.54
Episode:  68/2000 | Episode reward:   142.30 | Episode steps:  309 | Average reward:     7.06 | Step Count: 113553 | Episode Q0:    89.54
Episode:  69/2000 | Episode reward:   169.68 | Episode steps:  264 | Average reward:    27.50 | Step Count: 113817 | Episode Q0:    89.54
Episode:  70/2000 | Episode reward:   146.80 | Episode steps:  310 | Average reward:    44.61 | Step Count: 114127 | Episode Q0:    89.54
Episode:  71/2000 | Episode reward:   242.32 | Episode steps:  446 | Average reward:    71.99 | Step Count: 114573 | Episode Q0:    89.54
Episode:  72/2000 | Episode reward:   198.49 | Episode steps:  394 | Average reward:    95.61 | Step Count: 114967 | Episode Q0:    89.54
Episode:  73/2000 | Episode reward:   161.45 | Episode steps:  355 | Average reward:   114.55 | Step Count: 115322 | Episode Q0:    89.54
Episode:  74/2000 | Episode reward:   196.62 | Episode steps:  380 | Average reward:   136.44 | Step Count: 115702 | Episode Q0:    89.54
Episode:  75/2000 | Episode reward:   216.92 | Episode steps:  418 | Average reward:   161.31 | Step Count: 116120 | Episode Q0:    89.54
Episode:  76/2000 | Episode reward:   227.33 | Episode steps:  408 | Average reward:   186.07 | Step Count: 116528 | Episode Q0:    89.54
Episode:  77/2000 | Episode reward:   246.09 | Episode steps:  431 | Average reward:   194.80 | Step Count: 116959 | Episode Q0:    89.54
Episode:  78/2000 | Episode reward:   142.23 | Episode steps:  304 | Average reward:   194.79 | Step Count: 117263 | Episode Q0:    89.54
Episode:  79/2000 | Episode reward:   145.62 | Episode steps:  323 | Average reward:   192.39 | Step Count: 117586 | Episode Q0:    89.54
Episode:  80/2000 | Episode reward:   286.60 | Episode steps:  492 | Average reward:   206.37 | Step Count: 118078 | Episode Q0:    89.54
Episode:  81/2000 | Episode reward:   159.42 | Episode steps:  322 | Average reward:   198.08 | Step Count: 118400 | Episode Q0:    89.54
Episode:  82/2000 | Episode reward:   289.69 | Episode steps:  484 | Average reward:   207.20 | Step Count: 118884 | Episode Q0:    89.54
Episode:  83/2000 | Episode reward:   284.80 | Episode steps:  479 | Average reward:   219.53 | Step Count: 119363 | Episode Q0:    89.54
Episode:  84/2000 | Episode reward:   133.35 | Episode steps:  291 | Average reward:   213.21 | Step Count: 119654 | Episode Q0:    89.54
Episode:  85/2000 | Episode reward:   262.79 | Episode steps:  493 | Average reward:   217.79 | Step Count: 120147 | Episode Q0:    89.54
Episode:  86/2000 | Episode reward:   155.54 | Episode steps:  339 | Average reward:   210.61 | Step Count: 120486 | Episode Q0:    89.54
Episode:  87/2000 | Episode reward:   289.92 | Episode steps:  500 | Average reward:   215.00 | Step Count: 120986 | Episode Q0:    89.54
Episode:  88/2000 | Episode reward:   296.19 | Episode steps:  492 | Average reward:   230.39 | Step Count: 121478 | Episode Q0:    89.54
Episode:  89/2000 | Episode reward:   303.78 | Episode steps:  500 | Average reward:   246.21 | Step Count: 121978 | Episode Q0:    89.54
Episode:  90/2000 | Episode reward:   218.58 | Episode steps:  423 | Average reward:   239.41 | Step Count: 122401 | Episode Q0:    89.54
Episode:  91/2000 | Episode reward:   177.22 | Episode steps:  367 | Average reward:   241.19 | Step Count: 122768 | Episode Q0:    89.38
Episode:  92/2000 | Episode reward:   295.67 | Episode steps:  502 | Average reward:   241.78 | Step Count: 123270 | Episode Q0:    89.38
Episode:  93/2000 | Episode reward:   236.95 | Episode steps:  450 | Average reward:   237.00 | Step Count: 123720 | Episode Q0:    89.38
Episode:  94/2000 | Episode reward:   162.89 | Episode steps:  327 | Average reward:   239.95 | Step Count: 124047 | Episode Q0:    89.38
Episode:  95/2000 | Episode reward:   253.03 | Episode steps:  439 | Average reward:   238.98 | Step Count: 124486 | Episode Q0:    89.38
Episode:  96/2000 | Episode reward:   208.77 | Episode steps:  396 | Average reward:   244.30 | Step Count: 124882 | Episode Q0:    89.38
Episode:  97/2000 | Episode reward:   141.82 | Episode steps:  315 | Average reward:   229.49 | Step Count: 125197 | Episode Q0:    89.38
Episode:  98/2000 | Episode reward:   171.84 | Episode steps:  364 | Average reward:   217.05 | Step Count: 125561 | Episode Q0:    89.38
Episode:  99/2000 | Episode reward:   133.25 | Episode steps:  294 | Average reward:   200.00 | Step Count: 125855 | Episode Q0:    89.38
Episode: 100/2000 | Episode reward:   183.71 | Episode steps:  377 | Average reward:   196.52 | Step Count: 126232 | Episode Q0:    89.38
Episode: 101/2000 | Episode reward:   277.73 | Episode steps:  500 | Average reward:   206.57 | Step Count: 126732 | Episode Q0:    89.38
Episode: 102/2000 | Episode reward:   176.97 | Episode steps:  363 | Average reward:   194.70 | Step Count: 127095 | Episode Q0:    89.38
Episode: 103/2000 | Episode reward:   252.86 | Episode steps:  457 | Average reward:   196.29 | Step Count: 127552 | Episode Q0:    89.38
Episode: 104/2000 | Episode reward:   284.38 | Episode steps:  500 | Average reward:   208.44 | Step Count: 128052 | Episode Q0:    89.38
Episode: 105/2000 | Episode reward:   263.08 | Episode steps:  452 | Average reward:   209.44 | Step Count: 128504 | Episode Q0:    89.38
Episode: 106/2000 | Episode reward:   232.04 | Episode steps:  432 | Average reward:   211.77 | Step Count: 128936 | Episode Q0:    89.38
Episode: 107/2000 | Episode reward:   -96.25 | Episode steps:   39 | Average reward:   187.96 | Step Count: 128975 | Episode Q0:    89.38
Episode: 108/2000 | Episode reward:   -76.76 | Episode steps:   38 | Average reward:   163.10 | Step Count: 129013 | Episode Q0:    89.38
Episode: 109/2000 | Episode reward:   -82.07 | Episode steps:   37 | Average reward:   141.57 | Step Count: 129050 | Episode Q0:    89.38
Episode: 110/2000 | Episode reward:   -99.60 | Episode steps:   39 | Average reward:   113.24 | Step Count: 129089 | Episode Q0:    89.38
Episode: 111/2000 | Episode reward:   -86.84 | Episode steps:   36 | Average reward:    76.78 | Step Count: 129125 | Episode Q0:    89.38
Episode: 112/2000 | Episode reward:   -94.83 | Episode steps:   39 | Average reward:    49.60 | Step Count: 129164 | Episode Q0:    89.38
Episode: 113/2000 | Episode reward:   -92.82 | Episode steps:   39 | Average reward:    15.03 | Step Count: 129203 | Episode Q0:    89.38
Episode: 114/2000 | Episode reward:   -81.43 | Episode steps:   37 | Average reward:   -21.55 | Step Count: 129240 | Episode Q0:    89.38
Episode: 115/2000 | Episode reward:   -81.58 | Episode steps:   37 | Average reward:   -56.01 | Step Count: 129277 | Episode Q0:    89.38
Episode: 116/2000 | Episode reward:   -84.91 | Episode steps:   39 | Average reward:   -87.71 | Step Count: 129316 | Episode Q0:    89.38
Episode: 117/2000 | Episode reward:   -82.52 | Episode steps:   38 | Average reward:   -86.33 | Step Count: 129354 | Episode Q0:    89.38
Episode: 118/2000 | Episode reward:   -78.88 | Episode steps:   37 | Average reward:   -86.55 | Step Count: 129391 | Episode Q0:    89.38
Episode: 119/2000 | Episode reward:   -81.06 | Episode steps:   36 | Average reward:   -86.45 | Step Count: 129427 | Episode Q0:    89.38
Episode: 120/2000 | Episode reward:   -90.37 | Episode steps:   38 | Average reward:   -85.52 | Step Count: 129465 | Episode Q0:    89.38
Episode: 121/2000 | Episode reward:   -86.20 | Episode steps:   39 | Average reward:   -85.46 | Step Count: 129504 | Episode Q0:    89.38
Episode: 122/2000 | Episode reward:   -84.99 | Episode steps:   40 | Average reward:   -84.48 | Step Count: 129544 | Episode Q0:    89.38
Episode: 123/2000 | Episode reward:   -88.98 | Episode steps:   38 | Average reward:   -84.09 | Step Count: 129582 | Episode Q0:    89.38
Episode: 124/2000 | Episode reward:   -81.99 | Episode steps:   37 | Average reward:   -84.15 | Step Count: 129619 | Episode Q0:    89.38
Episode: 125/2000 | Episode reward:   -96.85 | Episode steps:   38 | Average reward:   -85.67 | Step Count: 129657 | Episode Q0:    89.38
Episode: 126/2000 | Episode reward:   -90.98 | Episode steps:   36 | Average reward:   -86.28 | Step Count: 129693 | Episode Q0:    89.38
Episode: 127/2000 | Episode reward:   -81.48 | Episode steps:   35 | Average reward:   -86.18 | Step Count: 129728 | Episode Q0:    89.38
Episode: 128/2000 | Episode reward:   -74.63 | Episode steps:   38 | Average reward:   -85.75 | Step Count: 129766 | Episode Q0:    89.38
Episode: 129/2000 | Episode reward:   -85.08 | Episode steps:   40 | Average reward:   -86.15 | Step Count: 129806 | Episode Q0:    89.38
