Frequency_Hz,Amplitude_A
0,2.19624255981561e-19
0.0403714170367424,0.000175548548316385
0.0807428340734849,0.000521213639515527
0.121114251110227,0.000341793417269018
0.16148566814697,0.0004019368344296
0.201857085183712,0.000317503058315803
0.242228502220455,0.000156703326934434
0.282599919257197,0.000134377287820501
0.322971336293939,0.000171321597881326
0.363342753330682,9.55196751830485e-05
0.403714170367424,0.000140957555777922
0.444085587404167,4.60749369607796e-05
0.484457004440909,0.000298189535180787
0.524828421477652,9.41719758986251e-05
0.565199838514394,0.000121311023485972
0.605571255551137,6.68679468530828e-05
0.645942672587879,8.63051084750645e-05
0.686314089624621,6.2571602776572e-05
0.726685506661364,0.000165637475789941
0.767056923698106,0.000221476405910389
0.807428340734849,0.000207448282767521
0.847799757771591,6.15540853523209e-05
0.888171174808334,0.000120578685364579
0.928542591845076,0.000243846996950946
0.968914008881819,5.13487541996088e-05
1.00928542591856,5.71250597825897e-05
1.0496568429553,0.000189284771311996
1.09002825999205,0.000294632503146452
1.13039967702879,2.42681542476206e-05
1.17077109406553,0.000159562749416535
1.21114251110227,6.0509035735745e-05
1.25151392813902,0.000104964992106884
1.29188534517576,0.000173123622119323
1.3322567622125,0.000103948111435426
1.37262817924924,7.92805392120887e-05
1.41299959628599,5.55149568788453e-05
1.45337101332273,3.92429035025958e-05
1.49374243035947,0.000220093599898613
1.53411384739621,0.000228760677307103
1.57448526443296,0.000107704194019959
1.6148566814697,0.000241679398004666
1.65522809850644,0.00013192046730456
1.69559951554318,3.69116289818401e-05
1.73597093257992,0.000207590356654275
1.77634234961667,9.34470243692827e-05
1.81671376665341,5.69708861391979e-05
1.85708518369015,4.15742468244582e-05
1.89745660072689,0.000148777271771478
1.93782801776364,0.000123227440281533
1.97819943480038,9.12981036194978e-05
2.01857085183712,0.000165566884337958
2.05894226887386,0.0001397618200562
2.09931368591061,0.000139018205140587
2.13968510294735,8.07988725673775e-05
2.18005651998409,0.000235608776729874
2.22042793702083,0.000120824622136479
2.26079935405758,7.77640545583123e-05
2.30117077109432,2.58195376151644e-05
2.34154218813106,8.98570211608209e-05
2.3819136051678,0.000117104025053153
2.42228502220455,0.000122710271947484
2.46265643924129,0.000257506428016818
2.50302785627803,8.35068538576491e-05
2.54339927331477,0.000284021509123421
2.58377069035152,4.86902751310548e-05
2.62414210738826,8.53328250678252e-05
2.664513524425,0.000235787720634855
2.70488494146174,9.58451021828236e-05
2.74525635849849,4.4770291899908e-05
2.78562777553523,0.000112884547196782
2.82599919257197,0.000123468468098253
2.86637060960871,0.000142276560051401
2.90674202664546,0.000148615392736401
2.9471134436822,6.56648211281906e-05
2.98748486071894,0.000141410141382181
3.02785627775568,0.000228993740314763
3.06822769479243,5.66830354852205e-05
3.10859911182917,1.65407960371558e-05
3.14897052886591,8.8108681649778e-05
3.18934194590265,0.000151421110297022
3.2297133629394,0.000168647104612365
3.27008477997614,0.000205910218956739
3.31045619701288,0.000200361218576573
3.35082761404962,0.000284662192028475
3.39119903108636,0.000125375433881969
3.43157044812311,0.000210185732214429
3.47194186515985,0.000129675320362435
3.51231328219659,8.87366017954168e-05
3.55268469923333,0.00011606599521842
3.59305611627008,3.64556745940287e-05
3.63342753330682,0.000138010088738907
3.67379895034356,0.000226827891426059
3.7141703673803,1.01361603595398e-05
3.75454178441705,0.000112777726139343
3.79491320145379,0.000160893593651189
3.83528461849053,9.08005956332795e-05
3.87565603552727,0.000169451215434073
3.91602745256402,0.000215417898562017
3.95639886960076,0.000129848841828429
3.9967702866375,0.000160380477261192
4.03714170367424,8.42241816442121e-05
4.07751312071099,8.07211979677593e-05
4.11788453774773,0.000117934594386924
4.15825595478447,9.76901982592284e-05
4.19862737182121,0.000101178017245204
4.23899878885796,6.16522389036162e-05
4.2793702058947,0.000139921055915031
4.31974162293144,8.47399259876856e-05
4.36011303996818,7.72092704277044e-05
4.40048445700493,0.0001262448339505
4.44085587404167,0.000101771615977868
4.48122729107841,0.000177501263177943
4.52159870811515,4.40955262007762e-05
4.56197012515189,0.000143614616317943
4.60234154218864,7.29574014992231e-05
4.64271295922538,0.000117329900138799
4.68308437626212,0.000108669297490932
4.72345579329887,5.96902137093115e-05
4.76382721033561,0.000113371571046341
4.80419862737235,0.000230100350993677
4.84457004440909,1.53751567516235e-05
4.88494146144583,0.000252731218326159
4.92531287848258,5.27455330389059e-05
4.96568429551932,0.000119914528709105
5.00605571255606,0.000155316409307391
5.0464271295928,0.000138448249898959
5.08679854662955,5.53252997540907e-05
5.12716996366629,0.000138572287343678
5.16754138070303,0.000217378023869927
5.20791279773978,7.96413343307324e-05
5.24828421477652,5.41666975442485e-05
5.28865563181326,0.000130188047465589
5.32902704885,7.90187169176022e-05
5.36939846588674,9.55407303534879e-05
5.40976988292349,3.27929224772782e-05
5.45014129996023,0.000141379678261204
5.49051271699697,0.000178303491895142
5.53088413403371,0.000105633517685443
5.57125555107046,0.00021486467837914
5.6116269681072,0.000147607513018961
5.65199838514394,0.000138715744367164
5.69236980218068,9.44983949577904e-06
5.73274121921743,7.81579118334401e-05
5.77311263625417,9.43650200262547e-05
5.81348405329091,0.000258126278903246
5.85385547032765,5.09884412170687e-05
5.8942268873644,4.87513555206999e-05
5.93459830440114,3.12428942529992e-05
5.97496972143788,0.000116649377876693
6.01534113847462,0.000149268008847904
6.05571255551137,5.19010525826636e-05
6.09608397254811,0.000191517877606815
6.13645538958485,0.000166087883469707
6.17682680662159,0.000171569007426809
