Frequency_Hz,Amplitude_A,Phase_deg
0.0807428340734849,0.000521213639515527,268.4936149862
16.8752523213583,0.000474937478128792,121.395310155795
38.5950746871258,0.000456864308099086,-49.3146950017509
72.9511505853936,0.000445476589314422,142.756642986913
190.835688332681,0.000443546135398773,20.4726865101528
174.566007266874,0.000437611717361502,80.8995260224828
76.9479208720311,0.000436742415183993,136.213844477439
187.727089220852,0.00043372942187303,249.405974584092
242.793702058969,0.000426838252135377,5.5837897190262
50.5046427129648,0.000414239810460981,151.643228058427
0.16148566814697,0.0004019368344296,33.730166282608
26.4029067420296,0.000399400592233261,5.96769920518254
239.483245861956,0.000390558405263996,103.8190170961
196.649172385972,0.000387467872075873,-10.801391715101
27.3314493338746,0.000380758744836872,57.170068252453
112.716996366585,0.000376658853586854,234.787574907505
144.650787242648,0.000375935208566401,-88.9541811227802
107.468712151808,0.00037290916517382,120.597242591196
65.2805813484125,0.000372359034643913,262.678497968055
28.058134840536,0.000371612931862855,215.114473169283
151.231328219637,0.000370435806775441,199.703110104208
123.132821962064,0.000368984789874046,169.506961475448
104.319741622942,0.000363650857506414,166.476328513434
28.9059345983076,0.000362178597690865,-29.1978337616232
14.5337101332273,0.000360665816156929,213.763127198957
42.1881308033959,0.00036020958976714,-10.1061155303373
223.94025030281,0.000359797070606871,174.238540406263
202.099313685933,0.000359482572882016,233.026631302601
51.1505853855527,0.00035680824498692,-60.3881304460022
212.959224868816,0.000356291624283864,168.985497146689
7.95316915623826,0.000354531226215623,-18.1851096533159
98.748486071872,0.000353359427879433,192.746531296753
170.811465482457,0.000351976722345945,-20.7244428557628
6.58054097698902,0.00035053329892074,-46.0566887889866
37.5050464271337,0.0003488405017366,45.0864164526088
218.288251917666,0.000348372982462956,-65.0715007330009
245.498587000431,0.000347323357545468,126.870513598619
81.186919660889,0.00034704479998024,108.406122872494
48.6879289463114,0.000345583473077531,186.301306077404
237.747274929376,0.0003449963579892,156.828975652157
122.930964876881,0.000344258310394432,36.6724260232371
195.882115462274,0.000343367141901273,197.52865711509
52.200242228508,0.000342633785380687,37.4574931497265
128.01776342351,0.000342633545254915,173.988477675475
80.1372628179337,0.000342224740169965,-78.7797558305166
77.0690351231413,0.000340710727443117,198.975962303908
136.616875252336,0.000339091163613208,251.838494428865
129.551877270906,0.0003385510199707,-42.839525169256
66.0072668550739,0.000336559334624985,-26.603167342781
67.2587807832129,0.000334941415627964,99.8689933715574
