Fundamental_Hz,HarmonicNumber,ExpectedFrequency_Hz,MatchedFrequency_Hz,FrequencyError_Hz,Amplitude_A
16.8752523213583,1,16.8752523213583,16.8752523213583,0,0.000474937478128792
16.8752523213583,2,33.7505046427167,33.7101332256799,0.0403714170367451,0.000116537646276449
16.8752523213583,3,50.625756964075,50.625756964075,0,0.000189585992628588
16.8752523213583,4,67.5010092854334,67.4606378683966,0.040371417036738,0.00026438587710637
16.8752523213583,5,84.3762616067917,84.4166330238284,0.040371417036738,0.000186794041544846
16.8752523213583,6,101.25151392815,101.291885345187,0.0403714170367522,0.000285606451258555
16.8752523213583,7,118.126766249508,118.046023415435,0.0807428340734759,0.000271131195693529
16.8752523213583,8,135.002018570867,134.96164715383,0.040371417036738,0.00022120495200017
16.8752523213583,9,151.877270892225,151.796528058152,0.0807428340734759,0.00020808264613199
16.8752523213583,10,168.752523213583,168.833266047657,0.0807428340734759,0.000101908082450494
16.8752523213583,11,185.627775534942,185.627775534942,0,0.000221976919945977
16.8752523213583,12,202.5030278563,202.462656439263,0.040371417036738,0.000326858524922411
16.8752523213583,13,219.378280177658,219.337908760622,0.040371417036738,0.000191836607474056
16.8752523213583,14,236.253532499017,236.21316108198,0.040371417036738,0.000161617018958849
