Training console diary: C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260708_222715_td3_mathworks_style_pi_current_1c_500hz_long_detailed_scratch7000\training_console.log
Starting parallel pool (parpool) using the 'Processes' profile ...
Preserving jobs with IDs: 1 8 because they contain crash dump files.
You can use 'delete(myCluster.Jobs)' to remove all jobs created with profile Processes. To create 'myCluster' use 'myCluster = parcluster('Processes')'.
Connected to parallel pool with 22 workers.
Episode:   1/7000 | Episode reward:    24.65 | Episode steps:   58 | Average reward:    24.65 | Step Count:   58 | Episode Q0:    -0.15
Episode:   2/7000 | Episode reward:    36.03 | Episode steps:   86 | Average reward:    30.34 | Step Count:  144 | Episode Q0:    -0.15
Episode:   3/7000 | Episode reward:    65.28 | Episode steps:  327 | Average reward:    41.99 | Step Count:  471 | Episode Q0:    -0.15
Episode:   4/7000 | Episode reward:    29.79 | Episode steps:   58 | Average reward:    38.94 | Step Count:  529 | Episode Q0:    -0.15
Episode:   5/7000 | Episode reward:    37.99 | Episode steps:   64 | Average reward:    38.75 | Step Count:  593 | Episode Q0:    -0.15
Episode:   6/7000 | Episode reward:    81.12 | Episode steps:  299 | Average reward:    45.81 | Step Count:  892 | Episode Q0:    -0.15
Episode:   7/7000 | Episode reward:    30.49 | Episode steps:   96 | Average reward:    43.62 | Step Count:  988 | Episode Q0:    -0.15
Episode:   8/7000 | Episode reward:    19.27 | Episode steps:   82 | Average reward:    40.58 | Step Count: 1070 | Episode Q0:    -0.15
Episode:   9/7000 | Episode reward:    -7.50 | Episode steps:   85 | Average reward:    35.24 | Step Count: 1155 | Episode Q0:    -0.15
Episode:  10/7000 | Episode reward:    16.93 | Episode steps:  101 | Average reward:    33.41 | Step Count: 1256 | Episode Q0:    -0.15
Episode:  11/7000 | Episode reward:    23.09 | Episode steps:   72 | Average reward:    33.25 | Step Count: 1328 | Episode Q0:    -0.15
Episode:  12/7000 | Episode reward:    23.98 | Episode steps:   70 | Average reward:    32.05 | Step Count: 1398 | Episode Q0:    -0.15
Episode:  13/7000 | Episode reward:  -128.12 | Episode steps:  271 | Average reward:    12.71 | Step Count: 1669 | Episode Q0:    -0.15
Episode:  14/7000 | Episode reward:    19.51 | Episode steps:  100 | Average reward:    11.68 | Step Count: 1769 | Episode Q0:    -0.15
Episode:  15/7000 | Episode reward:    33.75 | Episode steps:   87 | Average reward:    11.25 | Step Count: 1856 | Episode Q0:    -0.15
Episode:  16/7000 | Episode reward:    28.39 | Episode steps:  102 | Average reward:     5.98 | Step Count: 1958 | Episode Q0:    -0.15
Episode:  17/7000 | Episode reward:    27.76 | Episode steps:   63 | Average reward:     5.71 | Step Count: 2021 | Episode Q0:    -0.15
Episode:  18/7000 | Episode reward:    16.42 | Episode steps:   38 | Average reward:     5.42 | Step Count: 2059 | Episode Q0:    -0.15
Episode:  19/7000 | Episode reward:    45.15 | Episode steps:  113 | Average reward:    10.69 | Step Count: 2172 | Episode Q0:    -0.15
