CaseID,Theta1Error0,Theta2Error0,Omega1Error0,Omega2Error0,EvalSetName,SimTime,NumSamples,MaxAbsTheta1,MaxAbsTheta2Error,MaxAbsOmegaError,Theta2IAE,Theta2ISE,Theta1IAE,SettlingTimeTheta2,SettlingTimeTheta2Pct2,SettlingTimeBoth,FinalTheta2MAE,FinalTheta1MAE,FinalTheta2Bias,FinalTheta1Bias,FinalTheta2MaxAbsError,Theta2EndRMS,Theta2EndOscRMS,Theta2EndPeakToPeak,Theta2EndOscFreqHz,ActionEnergy,TorqueCommandEnergy,TorqueEnergy,CurrentEnergy,VoltageEnergy,ElectricalAbsEnergy,MeanAbsElectricalPower,DActionEnergy,DTorqueCommandEnergy,ActionDiffRMS,ActionEndRMS,ActionEndOscRMS,ActionEndPeakToPeak,ActionEndOscFreqHz,Terminated,Failed,CaseCost,ControllerName,StageIndex,StageName,TrainingEpisode,EvaluatedAt
1,-0.785398163397448,-3.14159265358979,-5,-10,full_fixed_workspace,5,100001,0.802852029842488,3.14159265358979,22.399967349344,1.13378311729018,1.97586973885122,1.91778966531834,1.01805,0.9569,NaN,4.06511716048709e-09,0.447450861978538,-1.55382175519408e-09,-0.447450861978538,1.19101497553231e-08,3.44252537950729e-08,2.70163310862253e-08,1.08916802687986e-07,0.5,0.0119304857588015,0.00194949732810175,0.00187788063224976,0.197541683865851,4.37662835518359,0.918669967321776,0.183733993464355,0.00118697425343367,1.12569918080831e-05,0.0154076231355369,1.02283324005453e-07,1.02264981259094e-07,6.33299350738525e-07,75.5,0,0,3.2267676935812,TD3,NaN,,NaN,30-Jun-2026 12:52:31
2,-0.785398163397448,-3.14159265358979,-5,0,full_fixed_workspace,5,100001,1.09156134525307,3.14159265358979,23.4708750310825,4.34001272234957,8.754566981652,2.30349560433537,2.8796,2.8118,NaN,3.48288328549645e-06,0.447437610221209,-3.48288328549645e-06,-0.447437610221209,9.16797399996838e-06,3.23724537401065e-05,2.48296574187517e-05,9.90293541156539e-05,0.5,0.0291276779906451,0.00445213274800039,0.00428714466102172,0.45098168689249,10.117737852511,2.09992635779383,0.419985271558765,0.00675805609716357,2.67881545906259e-05,0.0367642655228241,2.56412024739038e-06,1.96997191623817e-06,8.02986323833466e-06,3.5,0,0,9.83299326447835,TD3,NaN,,NaN,30-Jun-2026 12:52:31
3,-0.785398163397448,-3.14159265358979,-5,10,full_fixed_workspace,5,100001,1.4263242302981,3.14159265358979,20.4122659789229,3.61803920189986,7.78035710198096,2.4552716323952,3.15815,2.0089,NaN,2.52951840656611e-05,0.447354630615505,-2.52951840656611e-05,-0.447354630615505,6.65334520908445e-05,0.000235502604619983,0.00018088377256652,0.000725925060787169,0.5,0.0375615097848062,0.00576849362412292,0.00526462922781921,0.553807150855405,12.2394758454122,2.55844536423338,0.511689072846676,0.0222624060387008,8.74221982548596e-05,0.0667269151672709,1.85292559519341e-05,1.42315179120777e-05,5.70304691791534e-05,1.5,0,0,8.46730549446573,TD3,NaN,,NaN,30-Jun-2026 12:52:31
4,-0.785398163397448,-3.14159265358979,0,-10,full_fixed_workspace,5,100001,0.785406334632591,3.14159265358979,20.4712348191364,1.93910355834556,3.5737252859532,2.05202916693401,1.97975,1.4649,NaN,8.96609560609144e-08,0.447450526003257,-8.96609560609144e-08,-0.447450526003257,2.34559843303325e-07,8.3382436753017e-07,6.3910482227252e-07,2.54250220166341e-06,0.5,0.00968071473900912,0.00154325457547687,0.00150419293440946,0.158231998359969,3.71878232139302,0.757191327425759,0.151438265485152,0.000714292956819432,6.25699215198459e-06,0.0119523466885748,1.22791641004076e-07,1.15264182882596e-07,6.70552253723145e-07,85.5,0,0,4.90444651476559,TD3,NaN,,NaN,30-Jun-2026 12:52:31
5,-0.785398163397448,-3.14159265358979,0,0,full_fixed_workspace,0.138,2761,1.57735518353963,3.14159265358979,9.4205176208503,0.396526257279274,1.14296022705565,0.158947381760361,NaN,NaN,NaN,2.87337869377067,1.15180333642908,-2.87337869377067,-1.15180333642908,3.14159265358979,2.87790500393451,0.161344643096955,0.536329476514413,3.6231884057971,0.0295339078393425,0.00453613787096609,0.00391752899356339,0.412100354352493,8.87925452003512,1.8763763397011,13.5969299978341,0.0278967516126012,0.000108286955455668,0.449611358847123,0.461556406612112,0.460217564073586,1.53236651420593,68.8405797101449,1,1,1000,TD3,NaN,,NaN,30-Jun-2026 12:52:15
6,-0.785398163397448,-3.14159265358979,0,10,full_fixed_workspace,5,100001,1.15780780127684,3.14159265358979,20.9453376132136,3.61121064698136,7.57274237587106,2.44659646219564,3.00235,2.0626,NaN,1.20229312178035e-05,0.447405124034072,-1.20229312178035e-05,-0.447405124034072,3.16576080585662e-05,0.000111428512260607,8.54597042654347e-05,0.000341941721844208,0.5,0.027185538576161,0.00420083228391946,0.00390547936042779,0.410832805830668,9.14805927334816,1.90417329361323,0.380834658722646,0.0125849040798256,5.11496910878042e-05,0.0501695207866801,8.78264313115598e-06,6.73546673237226e-06,2.69543379545212e-05,0.5,0,0,8.44776731006921,TD3,NaN,,NaN,30-Jun-2026 12:53:31
7,-0.785398163397448,-3.14159265358979,5,-10,full_fixed_workspace,5,100001,1.04848566003729,3.14159265358979,20.7848748698959,2.81051936770103,5.69518930047052,2.19739763661655,2.70155,1.7046,NaN,2.84918683903189e-06,0.447440013887046,-2.84918683903189e-06,-0.447440013887046,7.50346221156661e-06,2.65002374567279e-05,2.03317373905522e-05,8.1182880143249e-05,0.5,0.0133568400690862,0.00203603381720716,0.00200092497538284,0.210485204511015,4.91271393475885,1.00071944770536,0.200143889541073,0.00136531315077812,5.414525390792e-06,0.0165246068078978,2.09767876416132e-06,1.61216973289231e-06,6.52298331260681e-06,2.5,0,0,6.7201686785708,TD3,NaN,,NaN,30-Jun-2026 12:52:32
8,-0.785398163397448,-3.14159265358979,5,0,full_fixed_workspace,5,100001,1.56723283432557,3.14159265358979,20.7988777624825,4.37473804907532,9.1920770432764,3.01640261255225,4.38085,3.5021,NaN,0.00617344371835589,0.414293217372824,-0.00617344371835589,-0.414293217372824,0.0132795463371005,0.0103449410441958,0.00602918051309455,0.0208266163916182,1,0.0519261418420737,0.0080047720184997,0.00732294853316558,0.770329891720245,16.8504348693413,3.54677975349004,0.709355950698007,0.0292705509673514,0.000116641562931408,0.076512157161266,0.00106918038927456,0.00073266790971308,0.00388601864688098,2,0,0,10.4512033604294,TD3,NaN,,NaN,30-Jun-2026 12:52:31
9,-0.785398163397448,-3.14159265358979,5,10,full_fixed_workspace,5,100001,1.01136477855279,3.14159265358979,22.7846197146633,3.51129954504015,6.8598437572796,2.62824278769347,2.4521,2.3975,NaN,5.32611042627515e-08,0.447451050247461,5.32611042627515e-08,-0.447451050247461,1.51125551628439e-07,5.03720281834332e-07,3.87316720083993e-07,1.54263662688336e-06,0.5,0.0275020720099753,0.00432736747219847,0.00409717303828646,0.430997821253018,9.47973098253254,1.9921348132578,0.39842696265156,0.00831848174684507,3.88461428164465e-05,0.040788434014669,1.26925963982076e-07,1.24388719654517e-07,7.5995922088623e-07,84.5,0,0,8.33796387025539,TD3,NaN,,NaN,30-Jun-2026 12:53:30
10,-0.785398163397448,-2.35619449019234,-5,-10,full_fixed_workspace,5,100001,0.809321795047487,3.14155365674113,22.7449026034207,1.25011549447635,2.28562343257627,1.91907649604154,1.1115,1.04675,NaN,3.21023484616363e-09,0.447450872310708,-3.03897249664057e-09,-0.447450872310708,9.40884836708733e-09,3.24115230067001e-08,2.51209389131971e-08,9.81658678789188e-08,0.5,0.0129701319771528,0.00209022863272761,0.00203867231536993,0.21445599635713,4.71725628860901,0.991047953173694,0.198209590634739,0.000579587571689212,8.07745969148559e-06,0.0107664996325566,1.08827181165888e-07,1.08810726622993e-07,6.83590769767761e-07,77.5,0,0,3.46003117421112,TD3,NaN,,NaN,30-Jun-2026 12:53:30
