time,sensor(1),sensor(2),sensor(3),sensor(4),time.1,act,time.2,volt,time.3,reward,theta_wrapped,phi_wrapped
0.0,-0.4944,3.779,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3485,-0.4944,-2.504
0.001187,-0.4944,3.779,-0.02267,-0.1033,0.005,1.0,0.001187,0.0,0.005,0.2177,-0.4946,-2.505
0.003561,-0.4945,3.778,-0.06784,-0.3098,0.01,1.0,0.003561,0.0,0.01,0.2468,-0.4933,-2.507
0.005,-0.4946,3.778,-0.09506,-0.4347,0.015,1.0,0.005,12.0,0.015,0.2457,-0.4881,-2.507
0.005004,-0.4946,3.778,-0.09512,-0.4351,0.02,0.9999,0.005004,12.0,0.02,0.2445,-0.4791,-2.506
0.005012,-0.4946,3.778,-0.09519,-0.4357,0.025,0.9998,0.005012,12.0,0.025,0.2432,-0.4663,-2.503
0.00502,-0.4946,3.778,-0.09519,-0.4363,0.03,0.9993,0.00502,12.0,0.03,0.2418,-0.4499,-2.499
0.00503,-0.4946,3.778,-0.0951,-0.4369,0.035,0.9979,0.00503,12.0,0.035,0.2403,-0.4303,-2.494
0.00505,-0.4946,3.778,-0.09461,-0.4379,0.04,0.9938,0.00505,12.0,0.04,0.2388,-0.4074,-2.488
0.005071,-0.4946,3.778,-0.09377,-0.4387,0.045,0.9815,0.005071,12.0,0.045,0.2377,-0.3811,-2.481
0.005091,-0.4946,3.778,-0.09261,-0.4391,0.05,0.9483,0.005091,12.0,0.05,0.2381,-0.3516,-2.472
0.005111,-0.4946,3.778,-0.0912,-0.4394,0.055,0.8654,0.005111,12.0,0.055,0.2426,-0.319,-2.462
0.005131,-0.4946,3.778,-0.08955,-0.4395,0.06,0.6973,0.005131,12.0,0.06,0.2558,-0.2833,-2.451
0.005156,-0.4946,3.778,-0.08725,-0.4393,0.065,0.4654,0.005156,12.0,0.065,0.2809,-0.245,-2.439
0.005181,-0.4946,3.778,-0.0847,-0.439,0.07,0.2528,0.005181,12.0,0.07,0.3091,-0.2046,-2.427
0.005206,-0.4946,3.778,-0.08193,-0.4384,0.075,0.1391,0.005206,12.0,0.075,0.33,-0.1629,-2.415
0.005237,-0.4946,3.778,-0.07834,-0.4376,0.08,0.05553,0.005237,12.0,0.08,0.3434,-0.1208,-2.403
0.005267,-0.4946,3.778,-0.07453,-0.4366,0.085,0.01428,0.005267,12.0,0.085,0.3538,-0.07904,-2.393
0.005298,-0.4946,3.778,-0.07055,-0.4354,0.09,-0.07805,0.005298,12.0,0.09,0.3626,-0.03796,-2.385
0.005337,-0.4946,3.778,-0.06529,-0.4338,0.095,-0.1736,0.005337,12.0,0.095,0.3691,0.002233,-2.379
0.005376,-0.4946,3.778,-0.05987,-0.4321,0.1,-0.2425,0.005376,12.0,0.1,0.3733,0.04132,-2.374
0.005423,-0.4947,3.778,-0.0531,-0.4298,0.105,-0.2473,0.005423,12.0,0.105,0.3762,0.07897,-2.372
0.00547,-0.4947,3.778,-0.04619,-0.4274,0.11,-0.2259,0.00547,12.0,0.11,0.3801,0.1149,-2.373
0.005528,-0.4947,3.778,-0.03761,-0.4243,0.115,-0.2378,0.005528,12.0,0.115,0.3826,0.149,-2.377
0.005586,-0.4947,3.778,-0.02893,-0.4212,0.12,-0.2708,0.005586,12.0,0.12,0.3808,0.1814,-2.383
0.005661,-0.4947,3.778,-0.01773,-0.4172,0.125,-0.304,0.005661,12.0,0.125,0.3755,0.212,-2.393
0.005735,-0.4947,3.778,-0.006484,-0.4131,0.13,-0.4585,0.005735,12.0,0.13,0.3677,0.2408,-2.405
0.005836,-0.4947,3.778,0.008834,-0.4075,0.135,-0.5844,0.005836,12.0,0.135,0.3469,0.2678,-2.42
0.005937,-0.4947,3.777,0.02418,-0.4018,0.14,-0.7036,0.005937,12.0,0.14,0.323,0.2924,-2.439
0.006086,-0.4947,3.777,0.04697,-0.3934,0.145,-0.7495,0.006086,12.0,0.145,0.2932,0.3142,-2.462
0.006271,-0.4946,3.777,0.07509,-0.3831,0.15,-0.8662,0.006271,12.0,0.15,0.2675,0.3326,-2.489
0.006533,-0.4946,3.777,0.115,-0.3685,0.155,-0.88,0.006533,12.0,0.155,0.2231,0.3471,-2.521
0.006908,-0.4946,3.777,0.1719,-0.3475,0.16,-0.8477,0.006908,12.0,0.16,0.1887,0.3574,-2.558
0.007558,-0.4944,3.777,0.2705,-0.3114,0.165,-0.8127,0.007558,12.0,0.165,0.154,0.3629,-2.601
0.008944,-0.4939,3.777,0.4803,-0.2346,0.17,-0.8264,0.008944,12.0,0.17,0.1119,0.3637,-2.65
0.01,-0.4933,3.776,0.6394,-0.1765,0.175,-0.8411,0.01,12.0,0.175,0.05407,0.3597,-2.704
0.01144,-0.4921,3.776,0.8553,-0.09797,0.18,-0.7563,0.01144,12.0,0.18,-0.01283,0.3507,-2.765
0.01432,-0.489,3.776,1.285,0.05801,0.185,-0.4843,0.01432,12.0,0.185,-0.07309,0.3367,-2.831
0.015,-0.4881,3.776,1.385,0.09427,0.19,-0.2547,0.015,12.0,0.19,-0.1198,0.3176,-2.903
0.01666,-0.4854,3.776,1.629,0.1825,0.195,-0.2175,0.01666,12.0,0.195,-0.174,0.2947,-2.979
0.02,-0.4791,3.777,2.118,0.3588,0.2,-0.2987,0.02,12.0,0.2,-0.232,0.2693,-3.059
0.02258,-0.4727,3.779,2.49,0.4927,0.205,-0.4005,0.02258,12.0,0.205,-0.2931,0.2428,-3.14
0.025,-0.4663,3.78,2.837,0.6175,0.21,-0.476,0.025,12.0,0.21,-0.2576,0.2155,3.062
0.02726,-0.4591,3.782,3.157,0.7328,0.215,-0.5315,0.02726,12.0,0.215,-0.2192,0.1873,2.98
0.03,-0.4499,3.784,3.543,0.8718,0.22,-0.5822,0.03,12.0,0.22,-0.1791,0.1583,2.897
0.03182,-0.443,3.786,3.796,0.9633,0.225,-0.6313,0.03182,12.0,0.225,-0.1378,0.1286,2.814
0.03402,-0.4343,3.788,4.1,1.074,0.23,-0.6542,0.03402,12.0,0.23,-0.09568,0.09845,2.732
0.035,-0.4303,3.789,4.235,1.122,0.235,-0.6649,0.035,11.99,0.235,-0.05016,0.06791,2.649
0.03552,-0.428,3.789,4.306,1.148,0.24,-0.662,0.03552,11.99,0.24,-0.002596,0.03716,2.568
0.03623,-0.4249,3.79,4.403,1.184,0.245,-0.6475,0.03623,11.99,0.245,0.04689,0.006358,2.488
0.03695,-0.4217,3.791,4.501,1.219,0.25,-0.5993,0.03695,11.99,0.25,0.09759,-0.02435,2.409
0.03838,-0.4151,3.793,4.696,1.29,0.255,-0.559,0.03838,11.99,0.255,0.1516,-0.05485,2.333
0.04,-0.4074,3.795,4.913,1.37,0.26,-0.5274,0.04,11.97,0.26,0.2039,-0.08501,2.258
0.04025,-0.4061,3.795,4.946,1.382,0.265,-0.4768,0.04025,11.97,0.265,0.2536,-0.1147,2.185
0.04059,-0.4044,3.796,4.992,1.399,0.27,-0.4143,0.04059,11.97,0.27,0.303,-0.1439,2.114
0.04093,-0.4027,3.796,5.038,1.416,0.275,-0.3538,0.04093,11.97,0.275,0.351,-0.1725,2.046
0.04161,-0.3993,3.797,5.128,1.449,0.28,-0.2829,0.04161,11.97,0.28,0.3963,-0.2006,1.981
0.04228,-0.3958,3.798,5.217,1.482,0.285,-0.2102,0.04228,11.97,0.285,0.4394,-0.2281,1.919
0.04405,-0.3864,3.801,5.451,1.568,0.29,-0.1435,0.04405,11.97,0.29,0.4794,-0.2548,1.859
0.045,-0.3811,3.803,5.576,1.614,0.295,-0.09592,0.045,11.93,0.295,0.5162,-0.2809,1.802
0.04512,-0.3805,3.803,5.591,1.62,0.3,-0.04573,0.04512,11.93,0.3,0.5495,-0.3061,1.748
0.04536,-0.3791,3.803,5.623,1.632,0.305,0.09492,0.04536,11.93,0.305,0.58,-0.3306,1.697
0.04553,-0.3781,3.803,5.645,1.64,0.31,0.1752,0.04553,11.93,0.31,0.6063,-0.3543,1.649
0.04591,-0.376,3.804,5.695,1.658,0.315,0.2991,0.04591,11.93,0.315,0.6303,-0.377,1.604
0.04629,-0.3738,3.805,5.744,1.677,0.32,0.4175,0.04629,11.93,0.32,0.6478,-0.3985,1.563
0.04717,-0.3687,3.806,5.858,1.719,0.325,0.4941,0.04717,11.93,0.325,0.6613,-0.4188,1.524
0.04899,-0.3578,3.809,6.092,1.806,0.33,0.5669,0.04899,11.93,0.33,0.6747,-0.4375,1.488
0.05,-0.3516,3.811,6.22,1.854,0.335,0.6148,0.05,11.78,0.335,0.6851,-0.4543,1.455
0.05007,-0.3512,3.811,6.229,1.858,0.34,0.6145,0.05007,11.78,0.34,0.6959,-0.4693,1.424
0.0502,-0.3504,3.812,6.245,1.864,0.345,0.6014,0.0502,11.78,0.345,0.7105,-0.4823,1.397
0.0503,-0.3498,3.812,6.258,1.868,0.35,0.5821,0.0503,11.78,0.35,0.7249,-0.4932,1.372
0.05047,-0.3487,3.812,6.279,1.876,0.355,0.5347,0.05047,11.78,0.355,0.7383,-0.5022,1.349
0.05064,-0.3476,3.812,6.301,1.884,0.36,0.4828,0.05064,11.78,0.36,0.7531,-0.5093,1.329
0.05088,-0.3461,3.813,6.331,1.895,0.365,0.4411,0.05088,11.78,0.365,0.7666,-0.5147,1.312
0.05121,-0.344,3.814,6.371,1.91,0.37,0.3827,0.05121,11.78,0.37,0.7774,-0.5187,1.297
0.05181,-0.3402,3.815,6.446,1.938,0.375,0.3163,0.05181,11.78,0.375,0.7879,-0.5213,1.285
0.05299,-0.3325,3.817,6.592,1.993,0.38,0.162,0.05299,11.78,0.38,0.797,-0.5227,1.275
0.055,-0.319,3.821,6.839,2.085,0.385,0.01047,0.055,11.38,0.385,0.8072,-0.5233,1.268
0.05503,-0.3188,3.821,6.842,2.086,0.39,-0.0872,0.05503,11.38,0.39,0.812,-0.5232,1.263
0.05508,-0.3184,3.821,6.849,2.089,0.395,-0.06889,0.05508,11.38,0.395,0.8125,-0.5231,1.261
0.05513,-0.3181,3.821,6.855,2.091,0.4,-0.07685,0.05513,11.38,0.4,0.8125,-0.5234,1.262
0.05521,-0.3176,3.822,6.864,2.094,0.405,-0.05264,0.05521,11.38,0.405,0.8103,-0.524,1.266
0.05529,-0.317,3.822,6.873,2.098,0.41,0.000822,0.05529,11.38,0.41,0.8069,-0.5251,1.274
0.05539,-0.3163,3.822,6.885,2.102,0.415,0.09719,0.05539,11.38,0.415,0.8019,-0.5266,1.284
0.05549,-0.3156,3.822,6.897,2.106,0.42,0.09497,0.05549,11.38,0.42,0.7942,-0.5283,1.297
0.05564,-0.3146,3.822,6.915,2.112,0.425,0.04958,0.05564,11.38,0.425,0.7866,-0.5299,1.313
0.05583,-0.3133,3.823,6.937,2.12,0.43,-0.0282,0.05583,11.38,0.43,0.7779,-0.5314,1.331
0.0561,-0.3114,3.823,6.968,2.131,0.435,-0.1053,0.0561,11.38,0.435,0.767,-0.5327,1.353
0.05649,-0.3087,3.824,7.013,2.148,0.44,-0.1081,0.05649,11.38,0.44,0.7534,-0.5339,1.377
0.05717,-0.3039,3.826,7.091,2.176,0.445,-0.148,0.05717,11.38,0.445,0.7392,-0.5353,1.405
0.05865,-0.2932,3.829,7.262,2.237,0.45,-0.1743,0.05865,11.38,0.45,0.722,-0.5369,1.435
0.06,-0.2833,3.832,7.416,2.293,0.455,-0.1947,0.06,10.38,0.455,0.7033,-0.5388,1.469
0.06002,-0.2832,3.832,7.418,2.294,0.46,-0.2137,0.06002,10.38,0.46,0.6827,-0.5408,1.505
0.06005,-0.283,3.832,7.421,2.295,0.465,-0.218,0.06005,10.38,0.465,0.6602,-0.5431,1.545
0.06008,-0.2827,3.832,7.425,2.296,0.47,-0.181,0.06008,10.38,0.47,0.6364,-0.5456,1.587
0.06012,-0.2824,3.832,7.429,2.298,0.475,-0.1598,0.06012,10.38,0.475,0.6121,-0.5483,1.632
0.06018,-0.282,3.832,7.435,2.3,0.48,-0.1447,0.06018,10.38,0.48,0.585,-0.551,1.681
0.06023,-0.2816,3.833,7.441,2.302,0.485,-0.142,0.06023,10.38,0.485,0.5555,-0.5535,1.732
0.0603,-0.2811,3.833,7.448,2.304,0.49,-0.1373,0.0603,10.38,0.49,0.5233,-0.5557,1.786
0.06038,-0.2805,3.833,7.455,2.306,0.495,-0.1718,0.06038,10.38,0.495,0.4887,-0.5574,1.844
0.06047,-0.2799,3.833,7.465,2.309,0.5,-0.2243,0.06047,10.38,0.5,0.4502,-0.5586,1.904
0.06056,-0.2792,3.833,7.474,2.312,0.505,-0.2836,0.06056,10.38,0.505,0.4083,-0.5591,1.967
0.06069,-0.2782,3.834,7.487,2.316,0.51,-0.3261,0.06069,10.38,0.51,0.363,-0.559,2.034
0.06086,-0.2769,3.834,7.503,2.321,0.515,-0.3469,0.06086,10.38,0.515,0.3161,-0.5584,2.103
0.06108,-0.2753,3.835,7.526,2.328,0.52,-0.3632,0.06108,10.38,0.52,0.2682,-0.5573,2.175
0.06138,-0.273,3.835,7.556,2.337,0.525,-0.3364,0.06138,10.38,0.525,0.2183,-0.5558,2.25
0.06188,-0.2692,3.836,7.605,2.352,0.53,-0.1679,0.06188,10.38,0.53,0.1694,-0.5539,2.327
0.06279,-0.2622,3.839,7.695,2.38,0.535,-0.02248,0.06279,10.38,0.535,0.1238,-0.5516,2.407
0.065,-0.245,3.844,7.912,2.447,0.54,0.03141,0.065,8.368,0.54,0.06778,-0.5484,2.489
0.06501,-0.2449,3.844,7.913,2.448,0.545,0.08785,0.06501,8.368,0.545,0.002741,-0.5436,2.575
0.06503,-0.2448,3.844,7.915,2.448,0.55,0.1499,0.06503,8.368,0.55,-0.06824,-0.537,2.663
0.06505,-0.2446,3.844,7.917,2.449,0.555,0.2048,0.06505,8.368,0.555,-0.1446,-0.5282,2.756
0.06508,-0.2444,3.844,7.919,2.449,0.56,0.2573,0.06508,8.368,0.56,-0.2254,-0.517,2.851
0.06512,-0.244,3.844,7.923,2.45,0.565,0.3118,0.06512,8.368,0.565,-0.3091,-0.5036,2.949
0.06516,-0.2437,3.844,7.926,2.451,0.57,0.3721,0.06516,8.368,0.57,-0.3935,-0.488,3.05
0.0652,-0.2434,3.844,7.929,2.451,0.575,0.4395,0.0652,8.368,0.575,-0.4617,-0.4706,-3.13
0.06525,-0.243,3.845,7.933,2.452,0.58,0.5113,0.06525,8.368,0.58,-0.4112,-0.4518,-3.025
0.0653,-0.2426,3.845,7.936,2.453,0.585,0.5856,0.0653,8.368,0.585,-0.3568,-0.432,-2.92
0.06537,-0.2421,3.845,7.941,2.453,0.59,0.6603,0.06537,8.368,0.59,-0.2999,-0.4118,-2.815
0.06543,-0.2416,3.845,7.945,2.454,0.595,0.7043,0.06543,8.368,0.595,-0.2419,-0.3914,-2.71
0.06551,-0.241,3.845,7.951,2.455,0.6,0.7394,0.06551,8.368,0.6,-0.18,-0.3711,-2.607
0.06559,-0.2403,3.845,7.957,2.455,0.605,0.7661,0.06559,8.368,0.605,-0.1171,-0.351,-2.505
0.0657,-0.2395,3.846,7.964,2.456,0.61,0.782,0.0657,8.368,0.61,-0.05415,-0.3312,-2.405
0.06581,-0.2386,3.846,7.972,2.457,0.615,0.7799,0.06581,8.368,0.615,0.008486,-0.3118,-2.308
0.06598,-0.2372,3.846,7.984,2.459,0.62,0.7414,0.06598,8.368,0.62,0.07161,-0.2927,-2.212
0.0662,-0.2355,3.847,7.999,2.461,0.625,0.6921,0.0662,8.368,0.625,0.1378,-0.2739,-2.119
0.06652,-0.2329,3.848,8.021,2.464,0.63,0.6322,0.06652,8.368,0.63,0.2029,-0.2554,-2.029
0.067,-0.229,3.849,8.055,2.468,0.635,0.5621,0.067,8.368,0.635,0.2665,-0.2372,-1.941
0.06794,-0.2214,3.851,8.12,2.476,0.64,0.4834,0.06794,8.368,0.64,0.3278,-0.2194,-1.856
0.07,-0.2046,3.856,8.261,2.493,0.645,0.3941,0.07,5.585,0.645,0.3863,-0.2019,-1.774
0.07001,-0.2045,3.856,8.262,2.493,0.65,0.2996,0.07001,5.585,0.65,0.4416,-0.1848,-1.695
0.07003,-0.2044,3.856,8.263,2.494,0.655,0.2024,0.07003,5.585,0.655,0.4929,-0.1682,-1.619
0.07004,-0.2042,3.856,8.264,2.494,0.66,0.08967,0.07004,5.585,0.66,0.5397,-0.1521,-1.546
0.07006,-0.204,3.856,8.265,2.494,0.665,-0.01398,0.07006,5.585,0.665,0.5819,-0.1365,-1.476
0.0701,-0.2038,3.857,8.267,2.493,0.67,-0.1101,0.0701,5.585,0.67,0.619,-0.1217,-1.409
0.07013,-0.2035,3.857,8.268,2.493,0.675,-0.1852,0.07013,5.585,0.675,0.6513,-0.1078,-1.345
0.07017,-0.2032,3.857,8.27,2.493,0.68,-0.2269,0.07017,5.585,0.68,0.6798,-0.0949,-1.283
0.07021,-0.2028,3.857,8.271,2.492,0.685,-0.2497,0.07021,5.585,0.685,0.7062,-0.08316,-1.224
0.07025,-0.2025,3.857,8.273,2.492,0.69,-0.2604,0.07025,5.585,0.69,0.7305,-0.07265,-1.168
0.0703,-0.2021,3.857,8.275,2.491,0.695,-0.2303,0.0703,5.585,0.695,0.753,-0.06338,-1.114
0.07035,-0.2017,3.857,8.277,2.49,0.7,-0.2174,0.07035,5.585,0.7,0.7755,-0.05531,-1.061
0.07042,-0.2011,3.857,8.279,2.489,0.705,-0.1967,0.07042,5.585,0.705,0.7953,-0.04835,-1.012
0.07048,-0.2006,3.857,8.281,2.487,0.71,-0.1697,0.07048,5.585,0.71,0.8138,-0.04236,-0.9636
0.07056,-0.1999,3.858,8.283,2.486,0.715,-0.1467,0.07056,5.585,0.715,0.8309,-0.03722,-0.9177
0.07064,-0.1993,3.858,8.286,2.484,0.72,-0.1274,0.07064,5.585,0.72,0.8466,-0.03281,-0.8737
0.07075,-0.1983,3.858,8.289,2.482,0.725,-0.1137,0.07075,5.585,0.725,0.861,-0.02898,-0.8316
0.07087,-0.1974,3.858,8.293,2.479,0.73,-0.1068,0.07087,5.585,0.73,0.874,-0.02561,-0.7914
0.07104,-0.1959,3.859,8.298,2.475,0.735,-0.1011,0.07104,5.585,0.735,0.8859,-0.0226,-0.7531
0.07126,-0.1941,3.859,8.305,2.471,0.74,-0.09204,0.07126,5.585,0.74,0.8968,-0.01988,-0.7167
0.0716,-0.1913,3.86,8.315,2.464,0.745,-0.07218,0.0716,5.585,0.745,0.9067,-0.01739,-0.682
0.0721,-0.1871,3.861,8.33,2.453,0.75,-0.06709,0.0721,5.585,0.75,0.916,-0.01507,-0.6491
0.0731,-0.1788,3.864,8.36,2.432,0.755,-0.06658,0.0731,5.585,0.755,0.9244,-0.01284,-0.6179
0.075,-0.1629,3.868,8.417,2.391,0.76,-0.06625,0.075,3.034,0.76,0.932,-0.01064,-0.5885
0.07501,-0.1628,3.869,8.418,2.391,0.765,-0.0663,0.07501,3.034,0.765,0.9389,-0.008422,-0.5607
0.07503,-0.1626,3.869,8.418,2.391,0.77,-0.06671,0.07503,3.034,0.77,0.945,-0.006191,-0.5346
0.07505,-0.1625,3.869,8.418,2.39,0.775,-0.07314,0.07505,3.034,0.775,0.9505,-0.003926,-0.5103
0.07507,-0.1623,3.869,8.419,2.39,0.78,-0.08417,0.07507,3.034,0.78,0.9555,-0.001639,-0.4872
0.0751,-0.162,3.869,8.419,2.388,0.785,-0.08486,0.0751,3.034,0.785,0.9597,0.0006623,-0.4655
0.07514,-0.1617,3.869,8.42,2.387,0.79,-0.0865,0.07514,3.034,0.79,0.9637,0.002935,-0.4451
0.07518,-0.1614,3.869,8.42,2.386,0.795,-0.1041,0.07518,3.034,0.795,0.9672,0.005145,-0.426
0.07522,-0.161,3.869,8.42,2.384,0.8,-0.1157,0.07522,3.034,0.8,0.97,0.007282,-0.408
0.07526,-0.1606,3.869,8.42,2.382,0.805,-0.1197,0.07526,3.034,0.805,0.9724,0.009296,-0.3911
0.07532,-0.1602,3.869,8.42,2.38,0.81,-0.1296,0.07532,3.034,0.81,0.9748,0.01111,-0.3752
0.07537,-0.1597,3.869,8.42,2.377,0.815,-0.1349,0.07537,3.034,0.815,0.9766,0.01266,-0.3601
0.07544,-0.1592,3.87,8.42,2.374,0.82,-0.1483,0.07544,3.034,0.82,0.9784,0.01393,-0.3458
0.0755,-0.1586,3.87,8.42,2.371,0.825,-0.1548,0.0755,3.034,0.825,0.9796,0.01486,-0.3322
0.07559,-0.1579,3.87,8.419,2.367,0.83,-0.1541,0.07559,3.034,0.83,0.9809,0.0154,-0.3191
0.07568,-0.1571,3.87,8.419,2.363,0.835,-0.151,0.07568,3.034,0.835,0.9821,0.01549,-0.3066
0.07581,-0.1561,3.87,8.419,2.357,0.84,-0.1478,0.07581,3.034,0.84,0.9834,0.01511,-0.2945
0.07593,-0.155,3.871,8.418,2.351,0.845,-0.1451,0.07593,3.034,0.845,0.9845,0.01427,-0.2828
0.07613,-0.1533,3.871,8.417,2.341,0.85,-0.1404,0.07613,3.034,0.85,0.9855,0.01297,-0.2716
0.07639,-0.1511,3.872,8.416,2.328,0.855,-0.1329,0.07639,3.034,0.855,0.9865,0.01124,-0.2606
0.07681,-0.1476,3.873,8.414,2.308,0.86,-0.1412,0.07681,3.034,0.86,0.9874,0.009089,-0.2501
0.07748,-0.142,3.874,8.412,2.276,0.865,-0.1478,0.07748,3.034,0.865,0.9879,0.006541,-0.2398
0.07904,-0.1288,3.878,8.406,2.2,0.87,-0.1536,0.07904,3.034,0.87,0.9883,0.003594,-0.2299
0.08,-0.1208,3.88,8.402,2.154,0.875,-0.1533,0.08,1.669,0.875,0.9886,0.0002067,-0.2203
0.08001,-0.1207,3.88,8.402,2.154,0.88,-0.1506,0.08001,1.669,0.88,0.989,-0.003657,-0.2108
0.08004,-0.1205,3.88,8.402,2.152,0.885,-0.1383,0.08004,1.669,0.885,0.9894,-0.008018,-0.2014
0.08006,-0.1203,3.88,8.402,2.151,0.89,-0.1259,0.08006,1.669,0.89,0.99,-0.01286,-0.1922
0.08009,-0.12,3.88,8.401,2.149,0.895,-0.1167,0.08009,1.669,0.895,0.9905,-0.01816,-0.183
0.08014,-0.1196,3.88,8.401,2.147,0.9,-0.1061,0.08014,1.669,0.9,0.991,-0.02384,-0.1741
0.08018,-0.1192,3.88,8.4,2.144,0.905,-0.1055,0.08018,1.669,0.905,0.9915,-0.02984,-0.1653
0.08024,-0.1188,3.88,8.399,2.141,0.91,-0.1189,0.08024,1.669,0.91,0.9918,-0.03613,-0.1567
0.0803,-0.1183,3.881,8.398,2.138,0.915,-0.1184,0.0803,1.669,0.915,0.9917,-0.04266,-0.1484
0.08036,-0.1177,3.881,8.396,2.133,0.92,-0.1099,0.08036,1.669,0.92,0.9918,-0.04948,-0.1402
0.08043,-0.1172,3.881,8.395,2.129,0.925,-0.1039,0.08043,1.669,0.925,0.992,-0.05663,-0.1321
0.08052,-0.1164,3.881,8.393,2.124,0.93,-0.0943,0.08052,1.669,0.93,0.9921,-0.06409,-0.1241
0.08061,-0.1157,3.881,8.391,2.118,0.935,-0.08406,0.08061,1.669,0.935,0.9923,-0.07181,-0.1162
0.08074,-0.1146,3.881,8.388,2.11,0.94,-0.0757,0.08074,1.669,0.94,0.9925,-0.07977,-0.1084
0.0809,-0.1133,3.882,8.385,2.1,0.945,-0.06889,0.0809,1.669,0.945,0.9926,-0.08791,-0.1007
0.08111,-0.1115,3.882,8.38,2.087,0.95,-0.0631,0.08111,1.669,0.95,0.9928,-0.09619,-0.09323
0.0814,-0.109,3.883,8.374,2.069,0.955,-0.05782,0.0814,1.669,0.955,0.9929,-0.1046,-0.08593
0.08186,-0.1052,3.884,8.364,2.04,0.96,-0.05564,0.08186,1.669,0.96,0.9929,-0.113,-0.07883
0.08268,-0.09832,3.885,8.347,1.988,0.965,-0.05303,0.08268,1.669,0.965,0.9929,-0.1215,-0.07191
0.085,-0.07904,3.89,8.298,1.843,0.97,-0.04996,0.085,0.6663,0.97,0.9929,-0.13,-0.06518
0.08501,-0.07892,3.89,8.298,1.842,0.975,-0.04592,0.08501,0.6663,0.975,0.9929,-0.1386,-0.05863
0.08504,-0.07869,3.89,8.297,1.84,0.98,-0.0413,0.08504,0.6663,0.98,0.9928,-0.1472,-0.05223
0.08507,-0.07845,3.89,8.297,1.838,0.985,-0.03643,0.08507,0.6663,0.985,0.9927,-0.1557,-0.04599
0.08511,-0.07814,3.89,8.296,1.835,0.99,-0.03151,0.08511,0.6663,0.99,0.9926,-0.1643,-0.0399
0.08516,-0.07772,3.89,8.294,1.832,0.995,-0.02856,0.08516,0.6663,0.995,0.9925,-0.1729,-0.03396
0.08521,-0.07729,3.89,8.293,1.828,1.0,-0.02532,0.08521,0.6663,1.0,0.9924,-0.1814,-0.02817
0.08527,-0.07677,3.89,8.291,1.824,1.005,-0.02119,0.08527,0.6663,1.005,0.9922,-0.1898,-0.02253
0.08534,-0.07624,3.89,8.288,1.819,1.01,-0.01653,0.08534,0.6663,1.01,0.992,-0.1982,-0.01703
0.08542,-0.07557,3.891,8.286,1.813,1.015,-0.01171,0.08542,0.6663,1.015,0.9918,-0.2065,-0.01167
0.0855,-0.0749,3.891,8.283,1.807,1.02,-0.006022,0.0855,0.6663,1.02,0.9917,-0.2147,-0.006444
0.08561,-0.07396,3.891,8.279,1.799,1.025,-0.0004035,0.08561,0.6663,1.025,0.9914,-0.2228,-0.001357
0.08573,-0.07303,3.891,8.275,1.791,1.03,0.004674,0.08573,0.6663,1.03,0.9912,-0.2307,0.003586
0.0859,-0.07158,3.891,8.27,1.778,1.035,0.00933,0.0859,0.6663,1.035,0.991,-0.2385,0.008379
0.08612,-0.06975,3.892,8.262,1.762,1.04,0.01335,0.08612,0.6663,1.04,0.9908,-0.2461,0.01301
0.08645,-0.06702,3.892,8.251,1.738,1.045,0.01581,0.08645,0.6663,1.045,0.9906,-0.2536,0.01749
0.08695,-0.06288,3.893,8.234,1.701,1.05,0.01886,0.08695,0.6663,1.05,0.9904,-0.2608,0.0218
0.08795,-0.05471,3.895,8.201,1.628,1.055,0.02242,0.08795,0.6663,1.055,0.9902,-0.2678,0.02595
0.09,-0.03796,3.898,8.134,1.477,1.06,0.02615,0.09,0.1713,1.06,0.9899,-0.2746,0.02996
0.09002,-0.0378,3.898,8.133,1.475,1.065,0.0283,0.09002,0.1713,1.065,0.9897,-0.2812,0.03382
0.09006,-0.03747,3.898,8.132,1.472,1.07,0.0313,0.09006,0.1713,1.07,0.9894,-0.2875,0.03753
0.0901,-0.03715,3.898,8.131,1.469,1.075,0.03423,0.0901,0.1713,1.075,0.9892,-0.2936,0.0411
0.09016,-0.0367,3.898,8.129,1.465,1.08,0.04034,0.09016,0.1713,1.08,0.989,-0.2994,0.04454
0.09022,-0.03614,3.898,8.126,1.46,1.085,0.0433,0.09022,0.1713,1.085,0.9887,-0.305,0.04785
0.09029,-0.03559,3.899,8.123,1.454,1.09,0.04463,0.09029,0.1713,1.09,0.9885,-0.3103,0.05103
0.09038,-0.03486,3.899,8.12,1.447,1.095,0.04311,0.09038,0.1713,1.095,0.9883,-0.3153,0.05406
0.09047,-0.03413,3.899,8.117,1.44,1.1,0.04233,0.09047,0.1713,1.1,0.9881,-0.32,0.05696
0.0906,-0.03309,3.899,8.112,1.43,1.105,0.04623,0.0906,0.1713,1.105,0.9879,-0.3245,0.05975
0.09076,-0.03183,3.899,8.105,1.418,1.11,0.05475,0.09076,0.1713,1.11,0.9876,-0.3287,0.06244
0.09097,-0.03012,3.9,8.097,1.401,1.115,0.06297,0.09097,0.1713,1.115,0.9874,-0.3326,0.06506
0.09125,-0.0278,3.9,8.086,1.379,1.12,0.06839,0.09125,0.1713,1.12,0.9871,-0.3363,0.06757
