Episode,EpisodeReward,EpisodeSteps,AverageReward,StepCount,EpisodeQ0
1,2075.28,2500,2075.28,2500,28.33
2,2068.76,2500,2072.02,5000,32.29
3,2084.63,2500,2076.23,7500,32.29
4,2082.93,2500,2077.9,10000,32.29
5,2079.68,2500,2078.26,12500,32.29
6,2102.19,2500,2082.25,15000,32.29
7,2083.47,2500,2082.42,17500,32.29
8,2058.43,2500,2079.42,20000,32.29
9,2074.47,2500,2078.87,22500,32.29
10,2084,2500,2079.38,25000,32.29
11,2055.92,2500,2077.45,27500,32.29
12,2070.2,2500,2077.59,30000,32.29
13,2095.69,2500,2078.7,32500,32.29
14,2101.12,2500,2080.52,35000,32.29
15,2082.51,2500,2080.8,37500,32.29
16,2063.22,2500,2076.9,40000,32.29
17,2094.4,2500,2078,42500,32.29
18,2083.78,2500,2080.53,45000,32.29
19,2095.53,2500,2082.64,47500,32.29
20,2089.8,2500,2083.22,50000,32.29
21,2097.4,2500,2087.37,52500,32.29
22,2077.41,2500,2088.09,55000,32.29
23,2076.26,2500,2086.14,57500,91
24,2089.34,2500,2084.97,60000,91
25,2083.95,2500,2085.11,62500,91
26,2071.17,2500,2085.9,65000,91
27,2099.14,2500,2086.38,67500,91
28,2070.83,2500,2085.08,70000,91
29,2075.81,2500,2083.11,72500,91
30,2079.1,2500,2082.04,75000,91
31,2066.01,2500,2078.9,77500,91
32,2075.06,2500,2078.67,80000,91
33,2098.55,2500,2080.9,82500,91
34,2029.45,2500,2074.91,85000,91
35,2074.23,2500,2073.93,87500,91
36,2093.32,2500,2076.15,90000,91
37,2100.55,2500,2076.29,92500,91
38,2073.56,2500,2076.56,95000,91
39,2100.17,2500,2079,97500,91
40,2068.58,2500,2077.95,100000,91
41,2081.03,2500,2079.45,102500,91
42,2054.96,2500,2077.44,105000,91
43,2065.65,2500,2074.15,107500,91
44,2069.63,2500,2078.17,110000,91
45,2095.08,2500,2080.25,112500,91
46,263.04,491,1897.22,112991,91
47,299.63,500,1717.13,113491,91
