CaseID,Theta1Error0,Theta2Error0,Omega1Error0,Omega2Error0,EvalSetName,SimTime,NumSamples,MaxAbsTheta1,MaxAbsTheta2Error,MaxAbsOmegaError,MaxAbsOmega1Error,MaxAbsOmega2Error,Theta2IAE,Theta2ISE,Theta1IAE,SettlingTimeTheta2,SettlingTimeTheta2Pct2,SettlingTimeBoth,FinalTheta2MAE,FinalTheta1MAE,FinalTheta2Bias,FinalTheta1Bias,FinalTheta2MaxAbsError,Theta2EndRMS,Theta2EndOscRMS,Theta2EndPeakToPeak,Theta2EndOscFreqHz,ActionEnergy,TorqueCommandEnergy,TorqueEnergy,CurrentEnergy,VoltageEnergy,ElectricalAbsEnergy,MeanAbsElectricalPower,DActionEnergy,DTorqueCommandEnergy,ActionDiffRMS,ActionEndRMS,ActionEndOscRMS,ActionEndPeakToPeak,ActionEndOscFreqHz,Terminated,Failed,CaseCost,ControllerName,StageIndex,StageName,TrainingEpisode,EvaluatedAt
1,0,-0.785398163397448,0,0,short_final,5,2501,0.750858772222948,3.14159265358979,30.3967547916282,19.7022420511842,30.3967547916282,6.71793092734357,12.3885451226535,1.08906808576861,NaN,NaN,NaN,1.41649489981984,0.262926482946605,-0.00313994125091739,-0.245161291310634,3.13966081141635,1.64491518064966,1.6449120413768,6.27604848543276,1,1.56082396286341,24.9731834058146,0.231911513589338,24.3956884775109,503.74486617393,110.644724505415,22.128944901083,0.251929212541964,4.03086740067143,0.224467909751912,0.514106722989292,0.51410651350064,1.9997484087944,17.5,0,0,58.056982023663,TD3,NaN,mathworks_style_single_run,NaN,05-Jul-2026 08:53:42
2,0,-0.349065850398866,0,0,short_final,5,2501,0.74764570199141,3.14159265358979,30.4450890750963,20.9969486497893,30.4450890750963,6.60984397856752,12.2031214565599,1.10899897312268,NaN,NaN,NaN,1.38980581285346,0.290942488027184,-0.106498211508069,-0.289739806876162,3.12809690634673,1.64463732646436,1.64461193215972,6.27583724657168,1,1.65443242519268,26.4709188030829,0.245603986301997,25.8360537858775,533.46111809904,117.168904853131,23.4337809706262,0.272264225175036,4.35622760280058,0.233351333904496,0.542929498570999,0.542929496397334,1.99972879886627,17.5,0,0,57.262575053647,TD3,NaN,mathworks_style_single_run,NaN,05-Jul-2026 08:53:42
3,0,-0.0872664625997165,0,0,short_final,5,2501,0.607182729538341,3.14159265358979,30.658913696192,23.6534917679212,30.658913696192,6.40277974611436,12.3797559332601,0.747360572566511,NaN,NaN,NaN,1.17271312221607,0.148230340536795,-0.209225588211542,0.0803704765315476,3.13405756162235,1.54349134723206,1.5392634730182,6.23192340532412,2.5,1.83166423160336,29.3066277056538,0.273245872509181,28.7438130187173,594.029981289975,130.463233992664,26.0926467985328,0.250046632292613,4.00074611668181,0.223627651372818,0.597822716684546,0.597822519141982,1.99227964878082,19.5,0,0,52.3561192814253,TD3,NaN,mathworks_style_single_run,NaN,05-Jul-2026 08:53:41
4,0,0,0,0,short_final,5,2501,1.0685592473101,3.14159265358979,30.9446739424595,21.8092395738527,30.9446739424595,6.4426569804176,11.9538404450108,1.16888723581633,NaN,NaN,NaN,1.32849203335241,0.154849625954616,1.06773277693914,0.0969602666592107,3.1398703598003,1.53745604150341,1.51158245024609,6.27780129004829,1,1.70202876802238,27.232460288358,0.251587769587889,26.4655115937294,546.777080069587,120.045145655417,24.0090291310834,0.290410514233938,4.64656822774301,0.241002288053013,0.591273633732597,0.591077281632376,1.99974572658539,20,0,0,55.7931498731752,TD3,NaN,mathworks_style_single_run,NaN,05-Jul-2026 08:53:42
5,0,0.0872664625997165,0,0,short_final,5,2501,1.07381737032751,3.14159265358979,30.9466782232135,23.2070438935291,30.9466782232135,6.59327625608167,12.2755841341445,1.16424380663817,NaN,NaN,NaN,1.42287408925161,0.16410600441226,0.535581198430817,0.149481564416064,3.1390815569372,1.63170109979242,1.6229780755939,6.27745757276286,1,1.63720387445382,26.1952619912611,0.242992932777429,25.5613867484476,527.89062117709,115.930464111423,23.1860928222847,0.271521139985551,4.34433823976882,0.233032675814166,0.599644792828739,0.599642180735787,1.99973458051682,17.5,0,0,57.973015392477,TD3,NaN,mathworks_style_single_run,NaN,05-Jul-2026 08:53:42
6,0,0.349065850398866,0,0,short_final,5,2501,0.896788592185261,3.14159265358979,30.4241619338382,19.4972950173461,30.4241619338382,6.69498429733983,12.3896097651536,1.09743633220741,NaN,NaN,NaN,1.45616395875213,0.161066260270448,0.274933993151459,0.146669208098099,3.14099869772839,1.65089628333151,1.64596720220541,6.27618905996066,1,1.57344313960221,25.1750902336353,0.233701129875186,24.5839452860156,507.705543232678,111.50034959827,22.300069919654,0.260111766398539,4.16178826237663,0.228084092561729,0.565112488891428,0.565083667242125,1.99955421686172,17.5,0,0,58.8163407140953,TD3,NaN,mathworks_style_single_run,NaN,05-Jul-2026 08:53:42
7,0,0.785398163397448,0,0,short_final,5,2501,0.750834387880504,3.14159265358979,30.8867563804051,20.1081212815211,30.8867563804051,6.77829828930462,12.5223307485964,1.03671498125698,NaN,NaN,NaN,1.45648885850887,0.15218653747222,0.148004793955459,0.0964337420358556,3.14068369678501,1.65253814664011,1.64815439744603,6.27730646154239,1,1.50882944258163,24.1412710813061,0.22438526097779,23.6039722264605,487.459166483636,107.061040342885,21.4122080685769,0.239143033057661,3.82628852892257,0.218697523103331,0.521113690167167,0.520953878425401,1.99915760755539,17.5,0,0,58.9545025527438,TD3,NaN,mathworks_style_single_run,NaN,05-Jul-2026 08:53:43
