Episode,MaxEpisodes,EpisodeReward,EpisodeSteps,AverageReward,StepCount,EpisodeQ0
121,5000,-1164.53,40,-484.24,9938,-55.04
122,5000,-427.87,38,-515.68,9976,-206.62
123,5000,-1534.98,43,-628.66,10019,-338.62
124,5000,-84.98,26,-552.46,10045,-92.18
125,5000,-52.45,20,-414.05,10065,-56.81
126,5000,-172.72,24,-425.32,10089,-19.26
127,5000,-1386.07,41,-554.12,10130,-616.33
128,5000,-1174.87,40,-627.82,10170,-436.31
129,5000,-1272.37,41,-748.97,10211,-181.14
130,5000,-921.62,40,-819.25,10251,-33.81
131,5000,-334.38,29,-736.23,10280,-55.28
132,5000,-667.81,34,-760.22,10314,-103.31
133,5000,-1004.91,34,-707.22,10348,-735.62
134,5000,-411.04,35,-739.82,10383,-345.08
135,5000,-1181.98,41,-852.78,10424,-197.32
136,5000,-128.8,23,-848.39,10447,-39.34
137,5000,-766.3,44,-786.41,10491,-477.16
138,5000,-1334.32,43,-802.35,10534,-369.59
139,5000,-843.63,34,-759.48,10568,-188.46
140,5000,-55.81,23,-672.9,10591,-118.26
141,5000,-191.25,32,-658.59,10623,-304.76
142,5000,-497.08,32,-641.51,10655,-49.25
143,5000,-1438.88,38,-684.91,10693,-757.75
144,5000,-1252.43,41,-769.05,10734,-136.34
145,5000,-942.62,29,-745.11,10763,-645.43
146,5000,-332.21,26,-765.45,10789,-116.78
147,5000,-108.88,24,-699.71,10813,-66.59
148,5000,-554.88,29,-621.77,10842,-264.71
149,5000,-545.19,28,-591.92,10870,-356.57
150,5000,-303.66,24,-616.71,10894,-399.62
151,5000,-314.15,31,-629,10925,-341.06
152,5000,-958.38,38,-675.13,10963,-34.36
153,5000,-892.35,36,-620.48,10999,-57.17
154,5000,-1466.58,43,-641.89,11042,-570.04
155,5000,-85.06,24,-556.14,11066,-186.08
156,5000,-130.86,31,-536,11097,-187.17
157,5000,-1458.51,45,-670.96,11142,-237.21
158,5000,-78.78,19,-623.35,11161,-49.15
159,5000,-255.9,33,-594.42,11194,-306.9
160,5000,-82.37,20,-572.29,11214,-51.29
161,5000,-1755.15,44,-716.39,11258,-767.14
162,5000,-638.47,32,-684.4,11290,-249.43
163,5000,-796.33,35,-674.8,11325,-207.06
164,5000,-61.6,20,-534.3,11345,-154.08
165,5000,-1261.23,46,-651.92,11391,-643.33
166,5000,-1037.73,45,-742.61,11436,-904.29
167,5000,-932.96,36,-690.05,11472,-390.38
168,5000,-930.64,36,-775.24,11508,-468.99
169,5000,-143.79,31,-764.03,11539,-272.01
170,5000,-1064.88,42,-862.28,11581,-70.09
171,5000,-1042.24,31,-790.99,11612,-1153.66
172,5000,-1645.44,49,-891.68,11661,-653.12
173,5000,-2688.77,68,-1080.93,11729,-930.28
