CaseID,Theta1Error0,Theta2Error0,Omega1Error0,Omega2Error0,EvalSetName,SimTime,NumSamples,MaxAbsTheta1,MaxAbsTheta2Error,MaxAbsOmegaError,Theta2IAE,Theta2ISE,Theta1IAE,SettlingTimeTheta2,SettlingTimeBoth,FinalTheta2MAE,FinalTheta1MAE,FinalTheta2Bias,FinalTheta1Bias,FinalTheta2MaxAbsError,ActionEnergy,TorqueCommandEnergy,TorqueEnergy,CurrentEnergy,VoltageEnergy,DActionEnergy,DTorqueCommandEnergy,Terminated,Failed,CaseCost,ControllerName,StageIndex,StageName,TrainingEpisode,EvaluatedAt
1,0,-0.785398163397448,0,0,short_final,5,100001,0.628283835072159,3.14126615637095,22.2416755958058,0.828251218924334,1.33648263615148,1.30632783122604,1.78415,NaN,0.00607310229963568,0.249596432591259,0.000750411817370099,-0.249596432591259,0.0100197485943226,0.0136896617953547,0.00232056512901517,0.00218527655152105,0.229877875242189,4.94165283385913,0.0121662766226678,2.32735136345869e-05,0,0,2.48266229774343,TD3,NaN,mathworks_style_single_run,NaN,16-Jun-2026 03:06:58
2,0,-0.349065850398866,0,0,short_final,5,100001,1.15493915488166,0.349818649706612,15.2030094037766,0.114524316814555,0.00905292278623135,1.96276639819598,1.9,NaN,0.00601592006400626,0.250833805164134,-0.000179980458891338,-0.250833805164134,0.010026194428399,0.00599537608005778,0.00120032542521258,0.00111133446325526,0.116905663458804,2.57825669422924,0.00588681840859522,1.4723785929208e-05,0,0,1.3815810214364,TD3,NaN,mathworks_style_single_run,NaN,16-Jun-2026 03:06:58
3,0,-0.0872664625997165,0,0,short_final,5,100001,0.585862653439191,0.105534913731481,6.75369996938773,0.0726932657655396,0.00377569088756317,1.30008146791156,1.01605,NaN,0.0060224424918064,0.251457416717385,-0.000651840122090648,-0.251457416717385,0.0100286640909713,0.00139092627007941,0.000280541292953707,0.000259373474156592,0.0272845206213378,0.605816450519854,0.00134065276516743,3.41937638750186e-06,0,0,0.966179438401773,TD3,NaN,mathworks_style_single_run,NaN,16-Jun-2026 03:06:58
4,0,0,0,0,short_final,5,100001,0.487647576320865,0.0763780376678969,2.90710893417994,0.0574073164283203,0.00198480382384726,1.26578615037914,0.91155,NaN,0.00607604237453766,0.249626706025023,0.000722088702967614,-0.249626706025023,0.0100392765575936,0.000461328790188264,8.59532411997446e-05,8.14016397154997e-05,0.0085629601278632,0.197331701819649,0.000230847400839906,6.68164882314815e-07,0,0,0.919456163228986,TD3,NaN,mathworks_style_single_run,NaN,16-Jun-2026 03:06:58
5,0,0.0872664625997165,0,0,short_final,5,100001,0.391764724194909,0.0875232257024327,1.57108718880651,0.046413304566524,0.00110015243012931,1.26028386678402,0.80615,NaN,0.00597770379033184,0.250267144252652,0.000255812161708318,-0.250267144252652,0.01002591683626,0.000265251964211664,4.18351557542234e-05,4.08725625771995e-05,0.00429954635920572,0.100910127878986,2.92598986472448e-05,7.76294242127089e-08,0,0,0.892659215759117,TD3,NaN,mathworks_style_single_run,NaN,16-Jun-2026 03:06:58
6,0,0.349065850398866,0,0,short_final,5,100001,1.15487743361108,0.349825816111986,10.2412765331646,0.107319711509498,0.0137885890265888,1.44622491620109,0.74955,NaN,0.00600915205957933,0.249928178959494,0.000496539496118187,-0.249928178959494,0.0100387783620839,0.00264158763462223,0.000631968058840813,0.000583300536814743,0.0613596882908341,1.41566581271032,0.00235716070772698,8.19187024263175e-06,0,0,1.108422860246,TD3,NaN,mathworks_style_single_run,NaN,16-Jun-2026 03:06:58
7,0,0.785398163397448,0,0,short_final,5,100001,0.630742484318822,3.14143068168165,16.5299495400564,0.859904244181334,1.47797567572525,1.30185749589716,1.6391,NaN,0.006071395749281,0.249602846114193,0.000741643114616781,-0.249602846114193,0.0100233481633649,0.0060753249504258,0.000980267237955553,0.000959224602663852,0.100904626184231,2.2490976576813,0.00142106873930579,3.28693762409735e-06,0,0,2.54251992144789,TD3,NaN,mathworks_style_single_run,NaN,16-Jun-2026 03:06:58
