CaseID,Theta1Error0,Theta2Error0,Omega1Error0,Omega2Error0,EvalSetName,SimTime,NumSamples,MaxAbsTheta1,MaxAbsTheta2Error,MaxAbsOmegaError,Theta2IAE,Theta2ISE,Theta1IAE,SettlingTimeTheta2,SettlingTimeBoth,FinalTheta2MAE,FinalTheta1MAE,FinalTheta2Bias,FinalTheta1Bias,FinalTheta2MaxAbsError,Theta2EndRMS,Theta2EndOscRMS,Theta2EndPeakToPeak,Theta2EndOscFreqHz,ActionEnergy,TorqueCommandEnergy,TorqueEnergy,CurrentEnergy,VoltageEnergy,ElectricalAbsEnergy,MeanAbsElectricalPower,DActionEnergy,DTorqueCommandEnergy,ActionDiffRMS,ActionEndRMS,ActionEndOscRMS,ActionEndPeakToPeak,ActionEndOscFreqHz,Terminated,Failed,CaseCost,ControllerName,StageIndex,StageName,TrainingEpisode,EvaluatedAt,ElapsedWallSeconds
13,-0.785398163397448,-2.35619449019234,0,-10,missing_cases_serial_debug,5,100001,0.785398163397448,3.14137848305609,20.7080316744251,1.32415561365232,2.60152775321811,2.05753492353553,1.84275,NaN,4.98863326714176e-08,0.447450701469208,-4.98863326714176e-08,-0.447450701469208,1.16086169121843e-07,4.36616780376406e-07,3.34778180733206e-07,1.35062105810491e-06,0.5,0.00730837096136747,0.00114616594310351,0.0011279711143324,0.118655738522804,2.81555856190348,0.568580393337075,0.113716078667415,0.000279895728248026,2.79243950063926e-06,0.0074819212539029,1.19494265220592e-07,1.17350338816362e-07,7.63684511184692e-07,80.5,0,0,3.67722105391416,TD3,NaN,long_run_missing_case_debug,NaN,19-Jun-2026 11:55:18,134.2014533
15,-0.785398163397448,-2.35619449019234,0,10,missing_cases_serial_debug,5,100001,1.00112889380448,3.14158605698608,21.4932011279918,3.419834171542,6.89970750004191,2.40810828129275,2.7637,NaN,3.86649836129702e-06,0.447436138702809,-3.86649836129702e-06,-0.447436138702809,1.01816378799136e-05,3.59381566058913e-05,2.75682317229241e-05,0.000110058229970456,0.5,0.0159603941598129,0.00247345739005568,0.00243782681889537,0.256444635781236,5.78630011821029,1.1987726579583,0.23975453159166,0.000818205307075392,5.40529759756125e-06,0.0127922266011464,2.84306270256268e-06,2.18363744834776e-06,8.89413058757782e-06,4.5,0,0,8.04417632509959,TD3,NaN,long_run_missing_case_debug,NaN,19-Jun-2026 11:55:41,12.4009201
95,-0.785398163397448,3.14159265358979,0,0,missing_cases_serial_debug,0.138,2761,1.57735518353963,3.14159265358979,9.42051762085029,0.396526257279273,1.14296022705565,0.158947381760361,NaN,NaN,2.87337869377066,1.15180333642908,-2.78007532629715,-1.15180333642908,3.14159265358979,2.87790500393451,0.743988166428114,6.28318526363836,7.2463768115942,0.0295339078393425,0.00453613787096609,0.00391752899356339,0.412100354352493,8.87925452003512,1.8763763397011,13.5969299978341,0.0278967516126012,0.000108286955455668,0.449611358847123,0.461556406612112,0.460217564073586,1.53236651420593,68.8405797101449,1,1,1000,TD3,NaN,long_run_missing_case_debug,NaN,19-Jun-2026 11:55:45,3.5889084
96,-0.785398163397448,3.14159265358979,0,10,missing_cases_serial_debug,5,100001,1.15780780127684,3.14159265358979,20.9453376132322,3.61121064751634,7.57274237584683,2.44659646583371,3.0024,NaN,1.20234869341857e-05,0.4474051308943,-1.20234869341857e-05,-0.4474051308943,3.16556081332526e-05,0.000111428382052713,8.54595726919451e-05,0.000341946094411405,0.5,0.0271855385741431,0.0042008322836125,0.00390547936011781,0.410832805798061,9.14805927281873,1.90417329249213,0.380834658498427,0.0125849040802116,5.11496910892718e-05,0.0501695207874495,8.78250612723754e-06,6.73518852512457e-06,2.68686562776566e-05,1.5,0,0,8.44776731407292,TD3,NaN,long_run_missing_case_debug,NaN,19-Jun-2026 11:55:54,8.57413
97,-0.785398163397448,3.14159265358979,5,-10,missing_cases_serial_debug,5,100001,1.04848559452788,3.14159265358979,20.7848851811738,2.8105193397774,5.69518916904211,2.1973975097542,2.70155,NaN,2.84866277572122e-06,0.447440010984551,-2.84866277572122e-06,-0.447440010984551,7.50107048588312e-06,2.65002478108618e-05,2.03318450133326e-05,8.1187642364533e-05,0.5,0.0133568879899898,0.00203604110364838,0.00200093120707679,0.210485860047526,4.91272792439788,1.00072240412886,0.200144480825772,0.00136536217851017,5.41471170233128e-06,0.0165249035005362,2.09835930693036e-06,1.61318502854831e-06,6.89364969730377e-06,3.5,0,0,6.72016854237841,TD3,NaN,long_run_missing_case_debug,NaN,19-Jun-2026 11:56:03,8.8029471
98,-0.785398163397448,3.14159265358979,5,0,missing_cases_serial_debug,5,100001,1.56723283439045,3.14159265358979,20.7988320562167,4.37473785425288,9.19207922343469,3.01636758671769,4.3808,NaN,0.00617195336972568,0.414303154290382,-0.00617195336972568,-0.414303154290382,0.0132762291427553,0.0103449204530018,0.00602866144806723,0.02082501989499,1,0.0519243530533535,0.00800449995893368,0.0073226960000728,0.77030332676637,16.849878857038,3.54665857392364,0.709331714784728,0.029269733113525,0.000116638453801927,0.0765110882336999,0.00106918118127951,0.000732640537809263,0.00388529500924051,2,0,0,10.4511389578843,TD3,NaN,long_run_missing_case_debug,NaN,19-Jun-2026 11:56:12,8.1474292
99,-0.785398163397448,3.14159265358979,5,10,missing_cases_serial_debug,5,100001,1.0113647785528,3.14159265358979,22.7846197146503,3.51129954428645,6.85984375725812,2.62824278682306,2.4521,NaN,5.24690697006999e-08,0.447451051569059,5.24690697006999e-08,-0.447451051569059,1.45390859995084e-07,5.0314516121389e-07,3.87109854501398e-07,1.54877790592423e-06,0.5,0.0275020720005226,0.00432736747076084,0.00409717303687792,0.430997821104844,9.4797309794573,1.9921348128005,0.3984269625601,0.00831848174649055,3.88461428150982e-05,0.0407884340137999,1.25328855650564e-07,1.22847281138241e-07,7.41332769393921e-07,84.5,0,0,8.33796382379847,TD3,NaN,long_run_missing_case_debug,NaN,19-Jun-2026 11:56:20,8.0736251
100,0,-3.14159265358979,-5,-10,missing_cases_serial_debug,5,100001,0.592217388183922,3.14159265358979,23.2089768996622,1.10207697842868,1.89755939011036,2.04280823023902,1.1153,NaN,1.21013153015363e-08,0.447450876622432,-2.58977098651303e-09,-0.447450876622432,2.73122435778816e-08,1.82320794365966e-08,1.61029032931262e-08,6.01712897285722e-08,6.5,0.0128488632353654,0.00208342260398445,0.00201731925777571,0.212209783855433,4.72669821317639,0.986365796324485,0.197273159264897,0.000966003607718213,1.01287540126173e-05,0.0138996662385699,1.02197133683348e-07,1.02192276371378e-07,6.05359673500061e-07,80.5,0,0,3.22585678285095,TD3,NaN,long_run_missing_case_debug,NaN,19-Jun-2026 11:56:30,9.519454
107,0,-3.14159265358979,5,0,missing_cases_serial_debug,5,100001,1.08903064103934,3.14159265358979,20.6071652851248,4.37713965403366,9.24515764540242,2.42802264965494,3.31775,NaN,5.15427158578382e-05,0.447254444392693,-5.15427158578382e-05,-0.447254444392693,0.000135381934359668,0.000482829632351223,0.000371058814783099,0.00147818045664749,0.5,0.044940219764441,0.00693786530979125,0.00636128209686434,0.669168399407163,14.7161920470964,3.08652356346787,0.617304712693575,0.0247203502786648,9.91220261156312e-05,0.0703140814896487,3.8451020531245e-05,2.96548843926857e-05,0.000119192525744438,0.5,0,0,9.9731065601213,TD3,NaN,long_run_missing_case_debug,NaN,19-Jun-2026 11:56:38,8.0645656
108,0,-3.14159265358979,5,10,missing_cases_serial_debug,5,100001,1.0640945441253,3.14159265358979,20.7932549940717,2.73606360256085,5.18928825252509,2.39927571858503,2.9342,NaN,8.56787204389622e-06,0.447418265552706,-8.56787204389622e-06,-0.447418265552706,2.25652128589042e-05,7.94316730033918e-05,6.09101833950414e-05,0.00024336286306692,0.5,0.0232534912191904,0.00368369515129011,0.00343932583904696,0.361796274981929,7.90266129306405,1.66963665676419,0.333927331352837,0.0091040108871716,4.19599582410331e-05,0.042670858644212,6.27152132417906e-06,4.81130308913662e-06,1.90809369087219e-05,1.5,0,0,6.67330358159202,TD3,NaN,long_run_missing_case_debug,NaN,19-Jun-2026 11:56:47,8.1631888
