Training console diary: C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260706_155021_td3_mathworks_style_pi_current_1d_500hz_near_upright_imeas_scratch\training_console.log
Starting parallel pool (parpool) using the 'Processes' profile ...
Preserving jobs with IDs: 1 because they contain crash dump files.
You can use 'delete(myCluster.Jobs)' to remove all jobs created with profile Processes. To create 'myCluster' use 'myCluster = parcluster('Processes')'.
Connected to parallel pool with 22 workers.
Episode:  46/1500 | Episode reward:    89.16 | Episode steps:  134 | Average reward:    96.15 | Step Count: 6369 | Episode Q0:     0.43
Episode:  47/1500 | Episode reward:   121.02 | Episode steps:  198 | Average reward:    85.12 | Step Count: 6567 | Episode Q0:     0.43
Episode:  48/1500 | Episode reward:    74.13 | Episode steps:   90 | Average reward:    84.82 | Step Count: 6657 | Episode Q0:     0.43
Episode:  49/1500 | Episode reward:    57.19 | Episode steps:   84 | Average reward:    80.76 | Step Count: 6741 | Episode Q0:     0.43
Episode:  50/1500 | Episode reward:    52.92 | Episode steps:   69 | Average reward:    80.51 | Step Count: 6810 | Episode Q0:     0.43
Episode:  51/1500 | Episode reward:   112.05 | Episode steps:  174 | Average reward:    82.34 | Step Count: 6984 | Episode Q0:     0.43
Episode:  52/1500 | Episode reward:    50.53 | Episode steps:   77 | Average reward:    80.90 | Step Count: 7061 | Episode Q0:     0.43
Episode:  53/1500 | Episode reward:    42.99 | Episode steps:   72 | Average reward:    76.53 | Step Count: 7133 | Episode Q0:     0.43
Episode:  54/1500 | Episode reward:    45.39 | Episode steps:   59 | Average reward:    72.85 | Step Count: 7192 | Episode Q0:     0.43
Episode:  55/1500 | Episode reward:    46.41 | Episode steps:   57 | Average reward:    69.18 | Step Count: 7249 | Episode Q0:     0.39
Episode:  56/1500 | Episode reward:    59.96 | Episode steps:   73 | Average reward:    66.26 | Step Count: 7322 | Episode Q0:     0.39
Episode:  57/1500 | Episode reward:   176.18 | Episode steps:  265 | Average reward:    71.77 | Step Count: 7587 | Episode Q0:     0.39
Episode:  58/1500 | Episode reward:   200.40 | Episode steps:  291 | Average reward:    84.40 | Step Count: 7878 | Episode Q0:     0.39
Episode:  59/1500 | Episode reward:    63.96 | Episode steps:   89 | Average reward:    85.08 | Step Count: 7967 | Episode Q0:     0.39
Episode:  60/1500 | Episode reward:    72.54 | Episode steps:  137 | Average reward:    87.04 | Step Count: 8104 | Episode Q0:     0.39
Episode:  61/1500 | Episode reward:    54.12 | Episode steps:   65 | Average reward:    81.25 | Step Count: 8169 | Episode Q0:     0.39
Episode:  62/1500 | Episode reward:    83.15 | Episode steps:  148 | Average reward:    84.51 | Step Count: 8317 | Episode Q0:     0.39
Episode:  63/1500 | Episode reward:    55.96 | Episode steps:  109 | Average reward:    85.81 | Step Count: 8426 | Episode Q0:     0.39
Episode:  64/1500 | Episode reward:    39.31 | Episode steps:   55 | Average reward:    85.20 | Step Count: 8481 | Episode Q0:     0.39
Episode:  65/1500 | Episode reward:    55.83 | Episode steps:   85 | Average reward:    86.14 | Step Count: 8566 | Episode Q0:     0.39
Episode:  66/1500 | Episode reward:    36.77 | Episode steps:   47 | Average reward:    83.82 | Step Count: 8613 | Episode Q0:     0.39
Episode:  67/1500 | Episode reward:    50.33 | Episode steps:   69 | Average reward:    71.24 | Step Count: 8682 | Episode Q0:     0.39
Episode:  68/1500 | Episode reward:    38.54 | Episode steps:   48 | Average reward:    55.05 | Step Count: 8730 | Episode Q0:     0.39
Episode:  69/1500 | Episode reward:    42.80 | Episode steps:   56 | Average reward:    52.94 | Step Count: 8786 | Episode Q0:     0.39
Episode:  70/1500 | Episode reward:    42.25 | Episode steps:   56 | Average reward:    49.91 | Step Count: 8842 | Episode Q0:     0.39
Episode:  71/1500 | Episode reward:    41.75 | Episode steps:   54 | Average reward:    48.67 | Step Count: 8896 | Episode Q0:     0.39
Episode:  72/1500 | Episode reward:    48.92 | Episode steps:   60 | Average reward:    45.25 | Step Count: 8956 | Episode Q0:     0.39
Episode:  73/1500 | Episode reward:    43.89 | Episode steps:   60 | Average reward:    44.04 | Step Count: 9016 | Episode Q0:     0.39
Episode:  74/1500 | Episode reward:    53.04 | Episode steps:   66 | Average reward:    45.41 | Step Count: 9082 | Episode Q0:     0.39
Episode:  75/1500 | Episode reward:    63.85 | Episode steps:   78 | Average reward:    46.21 | Step Count: 9160 | Episode Q0:     0.39
Episode:  76/1500 | Episode reward:    39.89 | Episode steps:   50 | Average reward:    46.53 | Step Count: 9210 | Episode Q0:     0.39
Episode:  77/1500 | Episode reward:    64.07 | Episode steps:   93 | Average reward:    47.90 | Step Count: 9303 | Episode Q0:     0.39
Episode:  78/1500 | Episode reward:    47.19 | Episode steps:   62 | Average reward:    48.76 | Step Count: 9365 | Episode Q0:     0.39
Episode:  79/1500 | Episode reward:    36.54 | Episode steps:   48 | Average reward:    48.14 | Step Count: 9413 | Episode Q0:     0.39
Episode:  80/1500 | Episode reward:    44.26 | Episode steps:   58 | Average reward:    48.34 | Step Count: 9471 | Episode Q0:     0.39
Episode:  81/1500 | Episode reward:    49.52 | Episode steps:   66 | Average reward:    49.12 | Step Count: 9537 | Episode Q0:     0.39
Episode:  82/1500 | Episode reward:    61.74 | Episode steps:   79 | Average reward:    50.40 | Step Count: 9616 | Episode Q0:     0.39
Episode:  83/1500 | Episode reward:    41.21 | Episode steps:   50 | Average reward:    50.13 | Step Count: 9666 | Episode Q0:     0.39
Episode:  84/1500 | Episode reward:    69.96 | Episode steps:  102 | Average reward:    51.82 | Step Count: 9768 | Episode Q0:     0.39
Episode:  85/1500 | Episode reward:    44.78 | Episode steps:   57 | Average reward:    49.92 | Step Count: 9825 | Episode Q0:     0.39
Episode:  86/1500 | Episode reward:    39.78 | Episode steps:   57 | Average reward:    49.91 | Step Count: 9882 | Episode Q0:     0.39
Episode:  87/1500 | Episode reward:    46.44 | Episode steps:   63 | Average reward:    48.14 | Step Count: 9945 | Episode Q0:     0.39
Episode:  88/1500 | Episode reward:    64.09 | Episode steps:   83 | Average reward:    49.83 | Step Count: 10028 | Episode Q0:     0.39
Episode:  89/1500 | Episode reward:    48.14 | Episode steps:   62 | Average reward:    50.99 | Step Count: 10090 | Episode Q0:     0.39
Episode:  90/1500 | Episode reward:    38.13 | Episode steps:   49 | Average reward:    50.38 | Step Count: 10139 | Episode Q0:     0.39
Episode:  91/1500 | Episode reward:    38.20 | Episode steps:   52 | Average reward:    49.25 | Step Count: 10191 | Episode Q0:     0.39
Episode:  92/1500 | Episode reward:    40.54 | Episode steps:   56 | Average reward:    47.13 | Step Count: 10247 | Episode Q0:     0.53
Episode:  93/1500 | Episode reward:    57.69 | Episode steps:   70 | Average reward:    48.78 | Step Count: 10317 | Episode Q0:     0.53
Episode:  94/1500 | Episode reward:    48.25 | Episode steps:   92 | Average reward:    46.60 | Step Count: 10409 | Episode Q0:     0.53
Episode:  95/1500 | Episode reward:    49.43 | Episode steps:   64 | Average reward:    47.07 | Step Count: 10473 | Episode Q0:     0.53
Episode:  96/1500 | Episode reward:    47.47 | Episode steps:   63 | Average reward:    47.84 | Step Count: 10536 | Episode Q0:     0.53
Episode:  97/1500 | Episode reward:    42.21 | Episode steps:   60 | Average reward:    47.42 | Step Count: 10596 | Episode Q0:     0.53
Episode:  98/1500 | Episode reward:    27.57 | Episode steps:   35 | Average reward:    43.76 | Step Count: 10631 | Episode Q0:     0.53
Episode:  99/1500 | Episode reward:    34.56 | Episode steps:   46 | Average reward:    42.41 | Step Count: 10677 | Episode Q0:     0.53
Episode: 100/1500 | Episode reward:    54.17 | Episode steps:   64 | Average reward:    44.01 | Step Count: 10741 | Episode Q0:     0.53
Episode: 101/1500 | Episode reward:    34.89 | Episode steps:   50 | Average reward:    43.68 | Step Count: 10791 | Episode Q0:     0.53
Episode: 102/1500 | Episode reward:    44.53 | Episode steps:   57 | Average reward:    44.08 | Step Count: 10848 | Episode Q0:     0.53
Episode: 103/1500 | Episode reward:    44.73 | Episode steps:   60 | Average reward:    42.78 | Step Count: 10908 | Episode Q0:     0.53
Episode: 104/1500 | Episode reward:    43.00 | Episode steps:   53 | Average reward:    42.26 | Step Count: 10961 | Episode Q0:     0.53
Episode: 105/1500 | Episode reward:    36.64 | Episode steps:   48 | Average reward:    40.98 | Step Count: 11009 | Episode Q0:     0.53
Episode: 106/1500 | Episode reward:    33.96 | Episode steps:   43 | Average reward:    39.63 | Step Count: 11052 | Episode Q0:     0.53
Episode: 107/1500 | Episode reward:    47.52 | Episode steps:   60 | Average reward:    40.16 | Step Count: 11112 | Episode Q0:     0.53
Episode: 108/1500 | Episode reward:    47.12 | Episode steps:   65 | Average reward:    42.11 | Step Count: 11177 | Episode Q0:     0.53
Episode: 109/1500 | Episode reward:    37.81 | Episode steps:   51 | Average reward:    42.44 | Step Count: 11228 | Episode Q0:     0.53
Episode: 110/1500 | Episode reward:    47.38 | Episode steps:   61 | Average reward:    41.76 | Step Count: 11289 | Episode Q0:     0.53
Episode: 111/1500 | Episode reward:    48.15 | Episode steps:   65 | Average reward:    43.08 | Step Count: 11354 | Episode Q0:     0.53
Episode: 112/1500 | Episode reward:    30.74 | Episode steps:   40 | Average reward:    41.70 | Step Count: 11394 | Episode Q0:     0.53
Episode: 113/1500 | Episode reward:    48.36 | Episode steps:   67 | Average reward:    42.07 | Step Count: 11461 | Episode Q0:     0.53
Episode: 114/1500 | Episode reward:    37.74 | Episode steps:   47 | Average reward:    41.54 | Step Count: 11508 | Episode Q0:     0.53
Episode: 115/1500 | Episode reward:    61.29 | Episode steps:   73 | Average reward:    44.01 | Step Count: 11581 | Episode Q0:     0.53
Episode: 116/1500 | Episode reward:    33.74 | Episode steps:   41 | Average reward:    43.99 | Step Count: 11622 | Episode Q0:     0.53
Episode: 117/1500 | Episode reward:    45.11 | Episode steps:   56 | Average reward:    43.75 | Step Count: 11678 | Episode Q0:     0.53
Episode: 118/1500 | Episode reward:    36.16 | Episode steps:   49 | Average reward:    42.65 | Step Count: 11727 | Episode Q0:     0.53
Episode: 119/1500 | Episode reward:    35.36 | Episode steps:   49 | Average reward:    42.40 | Step Count: 11776 | Episode Q0:     0.53
Episode: 120/1500 | Episode reward:    29.67 | Episode steps:   38 | Average reward:    40.63 | Step Count: 11814 | Episode Q0:     0.53
Episode: 121/1500 | Episode reward:    55.98 | Episode steps:   71 | Average reward:    41.42 | Step Count: 11885 | Episode Q0:     0.53
Episode: 122/1500 | Episode reward:    37.33 | Episode steps:   47 | Average reward:    42.08 | Step Count: 11932 | Episode Q0:     0.53
Episode: 123/1500 | Episode reward:    45.20 | Episode steps:   58 | Average reward:    41.76 | Step Count: 11990 | Episode Q0:     0.53
Episode: 124/1500 | Episode reward:    46.86 | Episode steps:   58 | Average reward:    42.67 | Step Count: 12048 | Episode Q0:     0.53
Episode: 125/1500 | Episode reward:    76.17 | Episode steps:  106 | Average reward:    44.16 | Step Count: 12154 | Episode Q0:     0.53
Episode: 126/1500 | Episode reward:    36.71 | Episode steps:   49 | Average reward:    44.45 | Step Count: 12203 | Episode Q0:     0.53
Episode: 127/1500 | Episode reward:    35.36 | Episode steps:   50 | Average reward:    43.48 | Step Count: 12253 | Episode Q0:     0.53
