CaseID,Theta1Error0,Theta2Error0,Omega1Error0,Omega2Error0,EvalSetName,SimTime,NumSamples,MaxAbsTheta1,MaxAbsTheta2Error,MaxAbsOmegaError,Theta2IAE,Theta2ISE,Theta1IAE,SettlingTimeTheta2,SettlingTimeTheta2Pct2,SettlingTimeBoth,FinalTheta2MAE,FinalTheta1MAE,FinalTheta2Bias,FinalTheta1Bias,FinalTheta2MaxAbsError,Theta2EndRMS,Theta2EndOscRMS,Theta2EndPeakToPeak,Theta2EndOscFreqHz,ActionEnergy,TorqueCommandEnergy,TorqueEnergy,CurrentEnergy,VoltageEnergy,ElectricalAbsEnergy,MeanAbsElectricalPower,DActionEnergy,DTorqueCommandEnergy,ActionDiffRMS,ActionEndRMS,ActionEndOscRMS,ActionEndPeakToPeak,ActionEndOscFreqHz,Terminated,Failed,CaseCost,ControllerName,StageIndex,StageName,TrainingEpisode,EvaluatedAt
1,-0.785398163397448,-3.14159265358979,-5,-10,full_fixed_workspace,5,100001,1.3307378310276,3.14159265358979,20.5260461321139,3.31425335137988,5.99408988694648,2.43226526052312,4.6084,3.98995,4.6084,0.0100511358506707,0.017648699556357,-0.0100511358506707,-0.0108355808319823,0.0261582622557689,0.0182399396723815,0.0160824997334544,0.0833455252610591,1,0.0421677337879645,0.00655691251037465,0.00602853901833225,0.634165840192741,13.8522373849143,2.91431712393624,0.582863424787248,0.0223350866121389,9.20891771195081e-05,0.0668357488356925,0.00163850095957223,0.00118395186802489,0.0073558168951422,3,0,0,8.17928972387662,TD3,NaN,,NaN,30-Jun-2026 07:10:31
2,-0.785398163397448,-3.14159265358979,-5,0,full_fixed_workspace,5,100001,0.961097188032773,3.14159265358979,20.6421511219471,3.6615227362824,7.83744621844749,1.47597677155783,3.34315,2.63115,3.34315,2.02557961862604e-06,0.0266231906528981,-2.02557961862604e-06,-0.0266231906528981,6.09140386462691e-06,3.8574939179892e-05,3.21489842208188e-05,0.000147358412883491,0.5,0.0742077167121352,0.011396993832114,0.0101884313865828,1.07176135559056,23.283524423889,4.91174111345433,0.982348222690866,0.0543587935163264,0.000212199318355736,0.104267726086576,2.35240796489814e-06,1.91928120547889e-06,8.96304845809937e-06,7.5,0,0,8.0675595494457,TD3,NaN,,NaN,30-Jun-2026 07:10:32
3,-0.785398163397448,-3.14159265358979,-5,10,full_fixed_workspace,0.186,3721,1.58080334917114,3.14159265358979,11.0983848553109,0.462017423079422,1.17027411028341,0.206430236666215,NaN,NaN,NaN,2.48398794473101,1.10985967054033,-2.48398794473101,-1.10985967054033,3.14159265358979,2.50837975039958,0.348959686275799,1.14182379590498,2.68817204301075,0.026118411532101,0.00404355725687284,0.00356027339474103,0.374519226271246,8.08637094859013,1.71410149412637,9.21559943078694,0.0212617729544889,8.44102726989592e-05,0.33809851712511,0.376062343172262,0.373763165346027,1.58677184581757,53.7634408602151,1,1,1000,TD3,NaN,,NaN,30-Jun-2026 07:10:53
4,-0.785398163397448,-3.14159265358979,0,-10,full_fixed_workspace,5,100001,0.785406348687533,3.14159265358979,20.8245335390338,1.94116764625108,3.90056972865374,0.584680161981204,1.8149,1.2298,1.8149,1.25569932445372e-08,0.0266274995412865,4.1878257556238e-09,-0.0266274995412865,3.97234402920024e-08,1.70574966869213e-08,1.61974094510441e-08,7.35156504561019e-08,5,0.0426546407790787,0.0065548872064809,0.0058396436225461,0.614295187118575,13.4502308031396,2.82393201296838,0.564786402593675,0.0322377542920396,0.000125939877894622,0.0802966428837961,1.09760972239671e-07,1.09757698960638e-07,5.96046447753906e-07,99,0,0,4.17848356304128,TD3,NaN,,NaN,30-Jun-2026 07:10:31
5,-0.785398163397448,-3.14159265358979,0,0,full_fixed_workspace,0.782,15641,1.58207526892139,3.14159265358979,8.1751959868958,2.3160217012017,6.89536581981065,0.661288780772973,NaN,NaN,NaN,2.87518891568933,0.843973195543421,0.422473881475856,-0.843973195543421,3.14159214203495,2.96943387428135,2.84425119283688,6.28314783048981,1.27877237851662,0.101760266041551,0.0154951436622168,0.0134018716012987,1.40979582919645,30.1102291893859,6.41146651211262,8.19880628147394,0.0965779805443467,0.000368109584942934,0.351427451820467,0.360475464286611,0.360387939993342,1.61204171180725,63.9386189258312,1,1,1000,TD3,NaN,,NaN,30-Jun-2026 07:10:18
6,-0.785398163397448,-3.14159265358979,0,10,full_fixed_workspace,5,100001,1.42182548429531,3.14159265358979,21.0281412974459,2.76629112485578,5.61814755462681,1.18330311867463,2.34985,1.9872,2.34985,1.58722357173416e-08,0.0266274248938923,-1.06165275883049e-08,-0.0266274248938923,3.99108761366254e-08,1.41008075393725e-07,1.1729186271786e-07,5.23057446244479e-07,0.5,0.0245052481395837,0.00372811921125724,0.00342857353519294,0.360665197653431,8.06898248050764,1.67502161379245,0.335004322758491,0.0138244414197092,5.26109869597898e-05,0.0525822050121695,1.29181713830202e-07,1.29051450559221e-07,6.55651092529297e-07,98,0,0,6.12595962754346,TD3,NaN,,NaN,30-Jun-2026 07:10:31
7,-0.785398163397448,-3.14159265358979,5,-10,full_fixed_workspace,5,100001,1.07039106255712,3.14159265358979,20.6837625087842,5.5876046092051,10.8465205008508,2.15760569068035,NaN,NaN,NaN,0.331089668372786,0.338232125177917,0.248592504224481,0.33633009225926,1.70562802328411,1.10133498502184,1.1002800482448,6.28222870437653,1.5,0.0824259393398176,0.0126217549100757,0.0115166313809707,1.21147996118035,26.4023734791406,5.55833032807021,1.11166606561404,0.0497507957068241,0.000193417451023973,0.0997504844166925,0.0730992577744221,0.0730943863492048,0.521493494510651,11.5,0,0,27.4100722903354,TD3,NaN,,NaN,30-Jun-2026 07:10:31
8,-0.785398163397448,-3.14159265358979,5,0,full_fixed_workspace,0.198,3961,1.58109246700059,3.14159265358979,9.43288143032182,0.52146397920876,1.38962531586696,0.215599293837504,NaN,NaN,NaN,2.63366874471936,1.08890914467692,-2.63366874471936,-1.08890914467692,3.14159265358979,2.64922771544552,0.286699200161144,0.918557990807291,2.52525252525253,0.0469395772681658,0.00723764106862012,0.00633243240317062,0.666133586132346,14.2631917805184,3.03519766370479,15.3292811298222,0.0404780843666387,0.00015882582174105,0.452144633417757,0.487775533070444,0.484841498346936,1.66866517066956,68.1818181818182,1,1,1000,TD3,NaN,,NaN,30-Jun-2026 07:10:16
9,-0.785398163397448,-3.14159265358979,5,10,full_fixed_workspace,5,100001,1.07152267288823,3.14159265358979,20.676417249604,5.283962103887,9.84145278108864,2.48084082751972,NaN,NaN,NaN,1.18588356014899,0.702631179540149,-0.224700140738804,0.702631179540149,3.1415296551266,1.46034984823051,1.45885664289149,6.28303063758572,1.5,0.0537038896792028,0.00824992317798213,0.00775330364008664,0.815600645899978,17.8096570333092,3.75024214361177,0.750048428722354,0.0214133241961943,8.57154146839602e-05,0.0654420723941322,0.0886612465720711,0.0879857621624622,0.510367751121521,13.5,0,0,51.2365807629302,TD3,NaN,,NaN,30-Jun-2026 07:11:11
10,-0.785398163397448,-2.35619449019234,-5,-10,full_fixed_workspace,5,100001,1.13773113127045,3.14152688359709,20.5870278178732,4.7466030747488,8.76389763676124,2.61898189766063,NaN,NaN,NaN,1.29962110382426,0.569678293388672,-0.0408582760456852,0.569678293388672,3.14152688359709,1.11126219700948,1.11120550934832,6.28223273913133,1,0.0636282804729077,0.00977730939377616,0.00901712342635262,0.948546843008822,20.5502308348929,4.34213767386402,0.868427534772804,0.0334759058309959,0.000132264506133799,0.0818240867116717,0.0719998059613688,0.0719971457476846,0.512813314795494,10.5,0,0,52.5070028957243,TD3,NaN,,NaN,30-Jun-2026 07:11:11
11,-0.785398163397448,-2.35619449019234,-5,0,full_fixed_workspace,5,100001,1.11021702496692,3.14138183982494,22.0870382582924,3.07998295578847,6.33311065930397,0.866709312772677,2.4112,1.8913,2.4112,2.42220250055427e-08,0.0266274743581771,-2.42220250055427e-08,-0.0266274743581771,4.20660075661772e-08,1.8890691520492e-07,1.54623910129788e-07,6.45417919109548e-07,0.5,0.0576138431253631,0.00876984632130066,0.00786261104254465,0.827099123476112,17.9887764872185,3.79252860889079,0.758505721778158,0.0416663007373259,0.000158775147650353,0.0912866920611387,1.21241436014583e-07,1.20940560592937e-07,7.37607479095459e-07,87.5,0,0,6.5982741539118,TD3,NaN,,NaN,30-Jun-2026 07:11:11
12,-0.785398163397448,-2.35619449019234,-5,10,full_fixed_workspace,5,100001,1.35408531034991,3.14139194736102,21.0867244851376,2.56523165091233,5.10453626918652,1.05945954695985,2.22695,1.89025,2.22695,1.76401880397142e-08,0.0266275055420793,-1.76401880397142e-08,-0.0266275055420793,4.97982346241291e-08,7.21072723356264e-08,5.93805112364816e-08,2.46856235008863e-07,1.5,0.0316983924008827,0.00482390292925728,0.00436298068906484,0.458959178336873,10.1197245638144,2.11478235913364,0.422956471826728,0.0213149379895147,8.11789239592697e-05,0.0652915583969545,1.21727562015382e-07,1.21669860145154e-07,7.0035457611084e-07,101,0,0,5.66276146896738,TD3,NaN,,NaN,30-Jun-2026 07:11:10
13,-0.785398163397448,-2.35619449019234,0,-10,full_fixed_workspace,5,100001,0.785398163397448,3.14154047290389,20.9505699033557,2.10098696755818,4.16400947517055,0.846358975388852,2.3408,1.77855,2.3408,1.95755908295191e-08,0.0266274949385888,-1.86937335352892e-08,-0.0266274949385888,5.52080885223152e-08,1.13599219703906e-07,9.29725881413809e-08,4.36427065153566e-07,0.5,0.0332828046460729,0.00506341177622031,0.0045421594087285,0.477807695855732,10.5109889007817,2.20058580634959,0.440117161269917,0.024143709511336,9.18613148944799e-05,0.0694891495290247,1.21977619831639e-07,1.21875230313013e-07,7.22706317901611e-07,95,0,0,4.62802267725505,TD3,NaN,,NaN,30-Jun-2026 07:11:10
14,-0.785398163397448,-2.35619449019234,0,0,full_fixed_workspace,5,100001,1.42548473229207,3.14153844709027,20.9258223833953,2.45140613964568,5.18780911049136,0.916590453784054,1.9178,1.43435,1.9178,9.57897214484385e-09,0.0266275041753478,5.23549306114826e-10,-0.0266275041753478,2.0651194287277e-08,1.47850311739845e-08,1.31696942816202e-08,5.72905154427872e-08,6.5,0.022741925885029,0.00355969189463096,0.00329866846447022,0.346999969963993,7.84015820350991,1.6186643565606,0.32373287131212,0.0106861160695864,4.56662047305052e-05,0.0462301115499116,1.08012263273451e-07,1.07997520002287e-07,5.96046447753906e-07,98.5,0,0,5.36250627947221,TD3,NaN,,NaN,30-Jun-2026 07:11:09
15,-0.785398163397448,-2.35619449019234,0,10,full_fixed_workspace,5,100001,1.17621851725586,3.14149744374746,20.718329779981,2.58730775587102,4.96892541351221,1.26488845377235,2.70895,2.10805,2.70895,4.75389964969889e-08,0.0266272276757098,-4.56816862500739e-08,-0.0266272276757098,1.83626015481261e-07,9.89046993108905e-07,8.10039220715104e-07,3.37194206956326e-06,0.5,0.0333607035006762,0.00518060468201372,0.00473569664768657,0.498166642754671,10.9113238788999,2.29496967617661,0.458993935235322,0.0191582969502569,7.81715081313999e-05,0.0619003989490484,1.67021169031274e-07,1.6149142367316e-07,1.06543302536011e-06,87.5,0,0,5.80945100689802,TD3,NaN,,NaN,30-Jun-2026 07:11:10
16,-0.785398163397448,-2.35619449019234,5,-10,full_fixed_workspace,5,100001,0.961445473320192,3.14158418613554,20.8970475097221,2.91015798571879,5.84240317192567,0.915393387681133,2.4551,2.0019,2.4551,8.43626040449377e-09,0.0266275181381154,-4.48940160692404e-09,-0.0266275181381154,3.0180858701101e-08,1.90428456894972e-08,1.82001117848092e-08,7.58722102922604e-08,3,0.0621822198477375,0.00957194158528103,0.00859241887768018,0.903870493378591,19.5712263239152,4.14019052089538,0.828038104179077,0.0437289274449849,0.000171980543931577,0.0935189044471597,1.02242862549148e-07,1.02240573989108e-07,6.33299350738525e-07,89.5,0,0,6.28324511953991,TD3,NaN,,NaN,30-Jun-2026 07:11:10
17,-0.785398163397448,-2.35619449019234,5,0,full_fixed_workspace,0.166,3321,1.5710592391165,2.35636278215764,7.37899445530948,0.356957786623708,0.769036420388507,0.198826610820345,NaN,NaN,NaN,2.15039242384179,1.19774478925268,-2.15039242384179,-1.19774478925268,2.35636278215764,2.15242770234296,0.0935811802513139,0.305542536046437,6.02409638554217,0.00965808215781081,0.00159653923801388,0.00153622049819229,0.161601104346329,3.4108297648332,0.736388167942385,4.43607330085774,0.000814737945542314,9.68794120709583e-06,0.0700575471516489,0.250404874049206,0.244844990355005,1.18907690048218,15.0602409638554,1,1,1000,TD3,NaN,,NaN,30-Jun-2026 07:10:54
18,-0.785398163397448,-2.35619449019234,5,10,full_fixed_workspace,5,100001,1.07116842528115,3.14156560624559,20.685571012767,5.17342274794824,9.45732836698637,2.41456955875956,NaN,NaN,NaN,1.24314923645793,0.661982027238641,-0.158333181479698,0.661931283187215,3.1413331211618,1.40087716182402,1.38948856417828,6.2828987274074,1.5,0.0568254144195908,0.00878178081373015,0.00830073134971651,0.873186729753216,18.9113984162778,4.00245570060027,0.800491140120053,0.0199691074053287,8.2992789775707e-05,0.0631966888457436,0.088444829007675,0.0870254990027126,0.525759771466255,12,0,0,52.1266075941194,TD3,NaN,,NaN,30-Jun-2026 07:11:11
19,-0.785398163397448,-1.5707963267949,-5,-10,full_fixed_workspace,5,100001,1.27105104073392,3.14149070035784,21.3451277376828,4.1981812251866,7.59146126661858,3.10814284258422,NaN,4.96585,NaN,0.898153007050359,0.310304384567006,0.454598223148371,0.310304384567006,3.14113394404289,1.10894112685171,1.10857806837169,6.28224172192575,1,0.0410676155382787,0.00634218828022178,0.00599983047402509,0.631145874979629,13.6620528756207,2.89125987130633,0.578251974261266,0.0143688790412209,5.94282409590008e-05,0.0536076096113619,0.07035281761287,0.0703526611363954,0.503708362579346,9,0,0,43.6212006038385,TD3,NaN,,NaN,30-Jun-2026 07:11:11
20,-0.785398163397448,-1.5707963267949,-5,0,full_fixed_workspace,5,100001,0.8579243428002,3.141327726037,20.7399572141384,2.32931490087873,4.53397970549285,1.05757075483625,2.57435,1.96265,2.57435,1.82628242114955e-08,0.0266273268481836,-1.5806277845993e-08,-0.0266273268481836,5.6226942856549e-08,4.39798342833106e-07,3.62118619379257e-07,1.57711344073164e-06,0.5,0.0305624992562613,0.00468292697933247,0.00426125308449154,0.448258049650662,9.76436179415487,2.05772811783213,0.411545623566427,0.0190364324583292,7.41045765455497e-05,0.0617032129768443,1.58224445651713e-07,1.57339022886708e-07,1.16974115371704e-06,89.5,0,0,5.18974559412107,TD3,NaN,,NaN,30-Jun-2026 07:11:10
21,-0.785398163397448,-1.5707963267949,-5,10,full_fixed_workspace,5,100001,0.845773141563583,3.14130498015209,21.9597421740757,1.62299898441921,2.80486212197049,0.615373812800705,1.78515,1.29395,1.78515,1.44062019216661e-08,0.0266275257611174,-5.1152698577489e-09,-0.0266275257611174,4.46349903704402e-08,2.17397503157546e-08,1.86417814320166e-08,6.48191034180456e-08,3.5,0.0228459572366355,0.00353288198329407,0.00328064799348811,0.345104325416239,7.40443053088308,1.57289486217482,0.314578972434965,0.01080237628923,4.3976630219888e-05,0.0464809128336135,1.0263657171114e-07,1.02614844934089e-07,7.30156898498535e-07,87.5,0,0,3.55509368896604,TD3,NaN,,NaN,30-Jun-2026 07:11:10
22,-0.785398163397448,-1.5707963267949,0,-10,full_fixed_workspace,5,100001,1.10428566660911,3.14157208754197,21.3369638818757,4.80004989752906,8.78837730959672,2.71839282410654,NaN,NaN,NaN,1.28643493932891,0.627566235004032,-0.0994656524515453,0.627052122076762,3.14139802662198,1.18382555500442,1.17757245732709,6.28223011218047,1,0.0454390918153541,0.0069218409639673,0.00654786090811035,0.688795361799907,15.0046993534264,3.16283209645239,0.632566419290477,0.0169023389408082,6.48015056317397e-05,0.0581417903763002,0.079466024752676,0.0787396538425219,0.524057045578957,8.5,0,0,52.3973301467843,TD3,NaN,,NaN,30-Jun-2026 07:11:11
23,-0.785398163397448,-1.5707963267949,0,0,full_fixed_workspace,5,100001,0.890578322094472,3.14152706383716,20.6724977030838,2.33108768045679,4.52886618692886,1.14544381594202,2.69235,2.0282,2.69235,3.62413738956174e-08,0.0266272664290665,-3.61076700954429e-08,-0.0266272664290665,1.48928252596145e-07,8.13767984857696e-07,6.67237324908356e-07,2.79394269853128e-06,0.5,0.0305011981386774,0.00464161317511912,0.00419261307571183,0.441037535906573,9.6928915503245,2.03034498535231,0.406068997070462,0.0207196622646454,7.89055626726247e-05,0.0643733831092404,1.59679926507436e-07,1.56089989100644e-07,1.05053186416626e-06,86.5,0,0,5.23738996588737,TD3,NaN,,NaN,30-Jun-2026 07:12:18
24,-0.785398163397448,-1.5707963267949,0,10,full_fixed_workspace,5,100001,0.78994059119694,3.1415586232661,22.0617530565825,1.63483097386103,2.86004356655086,0.581430531758058,1.83215,1.2294,1.83215,9.67342713418613e-09,0.0266275007637417,5.15500644781858e-09,-0.0266275007637417,2.81234715515666e-08,1.81638205306841e-08,1.62893824542332e-08,7.09146883437484e-08,7,0.0219000365459719,0.00333448149258449,0.00307356194354216,0.323320125553416,7.00538645798184,1.48409733930118,0.296819467860236,0.0119191369598585,4.54968149869728e-05,0.0488244548558577,1.07328960147972e-07,1.07326586342414e-07,5.51342964172363e-07,87.5,0,0,3.56187681757733,TD3,NaN,,NaN,30-Jun-2026 07:12:01
25,-0.785398163397448,-1.5707963267949,5,-10,full_fixed_workspace,5,100001,1.07460010613701,3.1415898578446,21.0119302343484,4.82043536825334,8.82111187968287,2.48488867454419,4.9914,4.94885,NaN,1.1314836149945,0.313412383716292,0.173621549606055,0.31125138936685,3.14144701950007,1.10141062938743,1.1014008654962,6.28222631195975,1,0.0469703770000242,0.00716768652934898,0.00679330721257168,0.714614828409907,15.4738997049952,3.27156305166069,0.654312610332139,0.0167348699525131,6.48089618533662e-05,0.0578530378675366,0.0724145373716425,0.0724127205936527,0.518061697483063,12,0,0,49.2225752888857,TD3,NaN,,NaN,30-Jun-2026 07:11:44
26,-0.785398163397448,-1.5707963267949,5,0,full_fixed_workspace,5,100001,1.40901537418392,3.14137862111486,20.6230182367408,3.04120798848242,5.7609301230627,1.95053887063974,3.8053,3.2151,3.8053,3.9405902360413e-05,0.0265559389233533,-3.9405902360413e-05,-0.0265559389233533,0.000142361335118089,0.00152636979634057,0.00129145392103914,0.00545295892392517,0.5,0.0377654195813621,0.0057757708572293,0.00527777648826992,0.555190163131616,12.1043899932708,2.54606281225566,0.509212562451132,0.022525809327019,8.72369169111987e-05,0.0671205025711502,0.000110560990586642,9.46596817796707e-05,0.000401422352297232,0.5,0,0,7.06196569558904,TD3,NaN,,NaN,30-Jun-2026 07:11:27
