CaseID,Theta1Error0,Theta2Error0,Omega1Error0,Omega2Error0,EvalSetName,SimTime,NumSamples,MaxAbsTheta1,MaxAbsTheta2Error,MaxAbsOmegaError,MaxAbsOmega1Error,MaxAbsOmega2Error,Theta2IAE,Theta2ISE,Theta1IAE,SettlingTimeTheta2,SettlingTimeTheta2Pct2,SettlingTimeBoth,FinalTheta2MAE,FinalTheta1MAE,FinalTheta2Bias,FinalTheta1Bias,FinalTheta2MaxAbsError,Theta2EndRMS,Theta2EndOscRMS,Theta2EndPeakToPeak,Theta2EndOscFreqHz,ActionEnergy,TorqueCommandEnergy,TorqueEnergy,CurrentEnergy,VoltageEnergy,ElectricalAbsEnergy,MeanAbsElectricalPower,DActionEnergy,DTorqueCommandEnergy,ActionDiffRMS,ActionEndRMS,ActionEndOscRMS,ActionEndPeakToPeak,ActionEndOscFreqHz,Terminated,Failed,CaseCost,ControllerName,StageIndex,StageName,TrainingEpisode,EvaluatedAt
1,0,-0.785398163397448,0,0,short_final,0.24,121,1.60709958891721,3.14159265358979,29.4922563911747,29.4922563911747,26.0746208831588,0.398512424294781,0.804759005843162,0.112802557380346,NaN,NaN,NaN,1.67240663527388,0.472664658816999,-1.62047948397487,-0.469432741870925,3.14159265358979,1.84530185216718,0.882714658102006,6.2099814414978,2.08333333333333,0.140478519017564,2.24765630428102,0.0199409237777447,2.09766456570621,43.7454378741596,9.54161599779426,39.7567333241428,0.0270340169120974,0.432544270593558,0.335621419360772,0.766441741943092,0.765686444319965,1.99995028972626,27.0833333333333,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,08-Jul-2026 13:57:09
2,0,-0.349065850398866,0,0,short_final,0.234,118,1.62720290830314,3.14159265358979,32.4319136233875,32.4319136233875,26.2079547023072,0.27790131117564,0.507496315338629,0.089737375374476,NaN,NaN,NaN,1.20319546387279,0.386907005696646,-1.1499481307611,-0.336243441654221,3.14159265358979,1.49269571083514,0.951714128141783,6.05281829833984,2.13675213675214,0.161756512488248,2.58810419981196,0.0229893083947357,2.41833618879534,51.0206370472358,11.0615263617675,47.2714801784935,0.0337398189679592,0.539837103487347,0.37971997649167,0.83219425831028,0.829113933501223,1.99985551834106,27.7777777777778,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,08-Jul-2026 13:57:09
3,0,-0.0872664625997165,0,0,short_final,0.334,168,1.64902105784344,3.14159265358979,36.0025988828981,25.9919655867348,36.0025988828981,0.274251573653098,0.529813721842258,0.16750613843184,NaN,NaN,NaN,0.834520977404593,0.503274259077097,0.637783265332357,0.503062341486969,3.14159265358979,1.27792457934963,1.10739502300124,6.24721343467106,4.49101796407186,0.240431375280271,3.84690200448434,0.0343800556174487,3.61657389795647,75.8872144085781,16.5119598757087,49.4370056158944,0.0521191396947613,0.833906235116181,0.395025731348515,0.848872392102733,0.84733840195628,2,29.940119760479,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,08-Jul-2026 13:57:09
4,0,0,0,0,short_final,0.298,150,1.62338186750119,3.14159265358979,40.0015398005903,20.9724488657485,40.0015398005903,0.309575863071047,0.633260023305726,0.159045796955004,NaN,NaN,NaN,1.05114798907359,0.535467369835824,0.63800077485979,0.534840320761626,3.14159265358979,1.47199461809573,1.32654557666938,6.21427485743632,5.03355704697987,0.208612369372721,3.33779790996354,0.0298342808873445,3.13838589215984,65.7780147685069,14.320836902875,48.0564996740773,0.0421338602649954,0.674141764239926,0.376017011364586,0.837252115923249,0.836068254420245,2,26.8456375838926,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,08-Jul-2026 13:57:09
5,0,0.0872664625997165,0,0,short_final,0.264,133,1.57969423775374,3.14159265358979,30.8820356813634,26.2354812701672,30.8820356813634,0.269354453383436,0.524057933120927,0.119343727812229,NaN,NaN,NaN,1.03617278906186,0.454589646505901,0.989166535626846,0.445682124402575,3.14159265358979,1.42967855823168,1.03224529287539,6.26750850701799,5.68181818181818,0.180145536611236,2.88232858577977,0.0257111410268176,2.70465651827142,56.68082267069,12.3397666211053,46.7415402314594,0.0350104927018409,0.560167883229455,0.364164115006529,0.826781572911584,0.826301540393218,1.99998468160629,26.5151515151515,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,08-Jul-2026 13:57:09
6,0,0.349065850398866,0,0,short_final,0.308,155,1.58336372768686,3.14159265358979,34.3006950329971,24.8718837751559,34.3006950329971,0.430647256842065,0.892081149613873,0.176728946059971,NaN,NaN,NaN,1.40554899033296,0.575181025362878,0.483627686973541,0.553369727538384,3.14159265358979,1.70925452396282,1.63940699281173,6.27300730930735,4.87012987012987,0.164243767861742,2.62790028578787,0.0234086368952347,2.46244701067557,51.4627836374764,11.214345838137,36.4102137601849,0.0352206089750977,0.563529743601563,0.338160651972587,0.7311875527142,0.731185626982208,1.99999994039536,29.2207792207792,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,08-Jul-2026 13:57:09
7,0,0.785398163397448,0,0,short_final,0.51,256,1.62233472348486,3.14159265358979,32.9185626644729,23.1929813551155,32.9185626644729,0.642455843910277,1.2166037489994,0.492110316535225,NaN,NaN,NaN,1.264087072056,0.987389147704002,0.0630927558670742,0.985587065385189,3.12308781792457,1.54794975819143,1.54537469839812,6.26238816069533,1.96078431372549,0.212211632084514,3.39538611335223,0.0305854861150148,3.2174081383316,67.0147944127491,14.6341016315656,28.6943169246385,0.04717704534852,0.75483272557632,0.304144719643945,0.646154131070282,0.646150494374516,2,27.4509803921569,1,1,1000,TD3,NaN,mathworks_style_single_run,NaN,08-Jul-2026 13:57:09
