CaseID,Theta1Error0,Theta2Error0,Omega1Error0,Omega2Error0,EvalSetName,SimTime,NumSamples,MaxAbsTheta1,MaxAbsTheta2Error,MaxAbsOmegaError,Theta2IAE,Theta2ISE,Theta1IAE,SettlingTimeTheta2,SettlingTimeBoth,FinalTheta2MAE,FinalTheta1MAE,FinalTheta2Bias,FinalTheta1Bias,FinalTheta2MaxAbsError,ActionEnergy,TorqueCommandEnergy,TorqueEnergy,CurrentEnergy,VoltageEnergy,DActionEnergy,DTorqueCommandEnergy,Terminated,Failed,CaseCost,ControllerName,StageIndex,StageName,TrainingEpisode,EvaluatedAt
1,0,-0.785398163397448,0,0,short_final,5,100001,0.893574028520137,3.141556707571,18.1292920438982,3.13213251070297,5.48432473379535,1.18065525427136,NaN,NaN,0.0230430625711755,0.318273937245727,-0.0230430625711755,0.318273937245727,0.0642584689501486,0.0208216757908383,0.00329832096510996,0.00320904725922243,0.337572361259425,7.29589459017889,0.00799299944281005,1.47987044674849e-05,0,0,7.63786644938609,TD3,NaN,mathworks_style_single_run,NaN,16-Jun-2026 00:47:52
2,0,-0.349065850398866,0,0,short_final,5,100001,0.898022570124954,3.14155832910994,18.2864138369694,3.09066456840542,5.346936896148,1.39486760432523,NaN,NaN,0.405665666372911,0.136088115624268,-0.405665666372911,-0.023790797907203,1.79324507798295,0.0226402268019122,0.00354251646274978,0.00344721279094607,0.362625934616286,7.83411306177168,0.00886861849545447,1.54702035297347e-05,0,0,23.9595332394751,TD3,NaN,mathworks_style_single_run,NaN,16-Jun-2026 00:47:52
3,0,-0.0872664625997165,0,0,short_final,5,100001,0.896347121813506,3.14148099584663,18.1353335208036,3.00365290639722,5.32292469581945,1.56749900643134,NaN,NaN,1.34317296094086,0.354912406607367,0.137338941594494,-0.242403568376323,3.14120513273028,0.0237687244365627,0.00362402599508206,0.00351311507034358,0.369558455788937,7.97248650716534,0.0118342857701367,1.81813921185764e-05,0,0,49.3620749385628,TD3,NaN,mathworks_style_single_run,NaN,16-Jun-2026 00:47:52
4,0,0,0,0,short_final,5,100001,0.897841691789561,3.14137868948365,18.1331143574703,2.36981882967801,4.03859469771344,1.45081748052975,NaN,NaN,1.19769521408045,0.283537556961713,0.514029688290887,0.0533794725378033,3.14137868948365,0.0189712709032792,0.0028858801405787,0.00278171856218445,0.292619967093697,6.3170845896636,0.011323109570818,1.723550750951e-05,0,0,45.1272546114614,TD3,NaN,mathworks_style_single_run,NaN,16-Jun-2026 00:47:52
5,0,0.0872664625997165,0,0,short_final,5,100001,0.896251641839797,3.14125665864348,18.0898217823009,1.55928050332297,2.68061951812048,1.14192656604055,4.6956,4.9872,0.0166207074382525,0.105038850749525,-0.0166207074382525,-0.105038850749525,0.0737386381969944,0.0125638410784046,0.00193443249660805,0.00186700657946431,0.196397799286187,4.22537360305412,0.0070108564072298,1.1132960446675e-05,0,0,4.39151941571492,TD3,NaN,mathworks_style_single_run,NaN,16-Jun-2026 00:47:52
6,0,0.349065850398866,0,0,short_final,5,100001,0.89566951274978,3.14154036524909,18.1163277126212,2.33147976237021,4.01700454053102,1.22956134916119,4.41595,4.7081,0.00413523312010931,0.047626410852452,-0.00413523312010931,-0.0385617923053786,0.0097278719452272,0.0184861340249196,0.00294310352311106,0.00285303099274226,0.300121603444288,6.48164430335575,0.00793389998806618,1.4695127841943e-05,0,0,5.41016291454741,TD3,NaN,mathworks_style_single_run,NaN,16-Jun-2026 00:47:52
7,0,0.785398163397448,0,0,short_final,5,100001,0.894905066467173,3.14144281911186,18.1225194998758,3.73552594912132,6.69525271249426,1.50558571124826,NaN,NaN,1.26953714711624,0.338067160320416,0.310802331473744,-0.274347294042012,3.14119161291841,0.0276477816339592,0.00425757813236229,0.0041412505431699,0.435634508157255,9.43003810047264,0.0111940802120799,1.86830010072518e-05,0,0,49.3220792938592,TD3,NaN,mathworks_style_single_run,NaN,16-Jun-2026 00:47:52
