Training console diary: C:\Users\abuj\Code\Reinforcement-Learning-Furuta-Inverted-Pendulum\results\TD3\run_20260703_230817_td3_mathworks_style_pi_current_1c_500hz_long_detailed\training_console.log
Episode:   1/5000 | Episode reward:   -57.76 | Episode steps:   44 | Average reward:   -57.76 | Step Count:   44 | Episode Q0:    -0.15
Episode:   2/5000 | Episode reward:   -60.01 | Episode steps:   58 | Average reward:   -58.89 | Step Count:  102 | Episode Q0:    -0.15
Episode:   3/5000 | Episode reward:    31.93 | Episode steps:   65 | Average reward:   -28.61 | Step Count:  167 | Episode Q0:    -0.15
Episode:   4/5000 | Episode reward:     6.40 | Episode steps:   38 | Average reward:   -19.86 | Step Count:  205 | Episode Q0:    -0.15
Episode:   5/5000 | Episode reward:     4.01 | Episode steps:   35 | Average reward:   -15.09 | Step Count:  240 | Episode Q0:    -0.15
Episode:   6/5000 | Episode reward:   -10.46 | Episode steps:   47 | Average reward:   -14.32 | Step Count:  287 | Episode Q0:    -0.15
Episode:   7/5000 | Episode reward:    -3.89 | Episode steps:   56 | Average reward:   -12.83 | Step Count:  343 | Episode Q0:    -0.15
Episode:   8/5000 | Episode reward:     5.02 | Episode steps:   62 | Average reward:   -10.60 | Step Count:  405 | Episode Q0:    -0.15
Episode:   9/5000 | Episode reward:   -17.92 | Episode steps:   47 | Average reward:   -11.41 | Step Count:  452 | Episode Q0:    -0.15
Episode:  10/5000 | Episode reward:    35.33 | Episode steps:   85 | Average reward:    -6.73 | Step Count:  537 | Episode Q0:    -0.15
Episode:  11/5000 | Episode reward:   -58.77 | Episode steps:   56 | Average reward:    -6.84 | Step Count:  593 | Episode Q0:    -0.15
Episode:  12/5000 | Episode reward:   -17.03 | Episode steps:   65 | Average reward:    -2.54 | Step Count:  658 | Episode Q0:    -0.15
Episode:  13/5000 | Episode reward:     2.34 | Episode steps:   27 | Average reward:    -5.50 | Step Count:  685 | Episode Q0:    -0.15
Episode:  14/5000 | Episode reward:    14.65 | Episode steps:   40 | Average reward:    -4.67 | Step Count:  725 | Episode Q0:    -0.15
Episode:  15/5000 | Episode reward:     3.94 | Episode steps:   89 | Average reward:    -4.68 | Step Count:  814 | Episode Q0:    -0.15
Episode:  16/5000 | Episode reward:   -22.51 | Episode steps:   54 | Average reward:    -5.88 | Step Count:  868 | Episode Q0:    -0.15
Episode:  17/5000 | Episode reward:    15.60 | Episode steps:   42 | Average reward:    -3.94 | Step Count:  910 | Episode Q0:    -0.15
Episode:  18/5000 | Episode reward:    -5.44 | Episode steps:   57 | Average reward:    -4.98 | Step Count:  967 | Episode Q0:    -0.15
Episode:  19/5000 | Episode reward:    44.23 | Episode steps:   91 | Average reward:     1.23 | Step Count: 1058 | Episode Q0:    -0.15
Episode:  20/5000 | Episode reward:    16.05 | Episode steps:   72 | Average reward:    -0.70 | Step Count: 1130 | Episode Q0:    -0.15
Episode:  21/5000 | Episode reward:   -16.81 | Episode steps:   63 | Average reward:     3.50 | Step Count: 1193 | Episode Q0:    -0.15
Episode:  22/5000 | Episode reward:     0.61 | Episode steps:   53 | Average reward:     5.27 | Step Count: 1246 | Episode Q0:    -0.15
Episode:  23/5000 | Episode reward:    15.54 | Episode steps:   46 | Average reward:     6.59 | Step Count: 1292 | Episode Q0:    -0.15
Episode:  24/5000 | Episode reward:    29.46 | Episode steps:   92 | Average reward:     8.07 | Step Count: 1384 | Episode Q0:    -0.15
Episode:  25/5000 | Episode reward:   -19.00 | Episode steps:   62 | Average reward:     5.77 | Step Count: 1446 | Episode Q0:    -0.15
Episode:  26/5000 | Episode reward:    24.97 | Episode steps:   51 | Average reward:    10.52 | Step Count: 1497 | Episode Q0:    -0.15
Episode:  27/5000 | Episode reward:    10.67 | Episode steps:   57 | Average reward:    10.03 | Step Count: 1554 | Episode Q0:    -0.15
Episode:  28/5000 | Episode reward:    16.70 | Episode steps:   46 | Average reward:    12.24 | Step Count: 1600 | Episode Q0:    -0.15
Episode:  29/5000 | Episode reward:    10.36 | Episode steps:   45 | Average reward:     8.85 | Step Count: 1645 | Episode Q0:    -0.15
Episode:  30/5000 | Episode reward:   -18.95 | Episode steps:   58 | Average reward:     5.35 | Step Count: 1703 | Episode Q0:    -0.15
Episode:  31/5000 | Episode reward:   -13.52 | Episode steps:   94 | Average reward:     5.68 | Step Count: 1797 | Episode Q0:    -0.15
Episode:  32/5000 | Episode reward:   -44.44 | Episode steps:   35 | Average reward:     1.18 | Step Count: 1832 | Episode Q0:    -0.15
Episode:  33/5000 | Episode reward:    22.10 | Episode steps:   54 | Average reward:     1.83 | Step Count: 1886 | Episode Q0:    -0.15
Episode:  34/5000 | Episode reward:   -69.85 | Episode steps:   49 | Average reward:    -8.10 | Step Count: 1935 | Episode Q0:    -0.15
Episode:  35/5000 | Episode reward:    -4.22 | Episode steps:   59 | Average reward:    -6.62 | Step Count: 1994 | Episode Q0:    -0.15
Episode:  36/5000 | Episode reward:    11.33 | Episode steps:   68 | Average reward:    -7.98 | Step Count: 2062 | Episode Q0:    -0.15
Episode:  37/5000 | Episode reward:   -26.41 | Episode steps:   48 | Average reward:   -11.69 | Step Count: 2110 | Episode Q0:    -0.15
Episode:  38/5000 | Episode reward:    19.73 | Episode steps:   64 | Average reward:   -11.39 | Step Count: 2174 | Episode Q0:    -0.15
Episode:  39/5000 | Episode reward:    22.53 | Episode steps:   51 | Average reward:   -10.17 | Step Count: 2225 | Episode Q0:    -0.15
Episode:  40/5000 | Episode reward:   -53.74 | Episode steps:   35 | Average reward:   -13.65 | Step Count: 2260 | Episode Q0:    -0.15
Episode:  41/5000 | Episode reward:    -2.54 | Episode steps:   80 | Average reward:   -12.55 | Step Count: 2340 | Episode Q0:    -0.15
Episode:  42/5000 | Episode reward:    14.64 | Episode steps:   45 | Average reward:    -6.64 | Step Count: 2385 | Episode Q0:    -0.15
Episode:  43/5000 | Episode reward:    17.06 | Episode steps:   44 | Average reward:    -7.15 | Step Count: 2429 | Episode Q0:    -0.15
Episode:  44/5000 | Episode reward:    -5.93 | Episode steps:   61 | Average reward:    -0.76 | Step Count: 2490 | Episode Q0:    -0.15
Episode:  45/5000 | Episode reward:    -3.49 | Episode steps:   44 | Average reward:    -0.68 | Step Count: 2534 | Episode Q0:    -0.15
Episode:  46/5000 | Episode reward:    33.91 | Episode steps:  175 | Average reward:     1.57 | Step Count: 2709 | Episode Q0:    -0.15
Episode:  47/5000 | Episode reward:    13.34 | Episode steps:   43 | Average reward:     5.55 | Step Count: 2752 | Episode Q0:    -0.15
Episode:  48/5000 | Episode reward:   -32.05 | Episode steps:   49 | Average reward:     0.37 | Step Count: 2801 | Episode Q0:    -0.15
Episode:  49/5000 | Episode reward:   -21.09 | Episode steps:   45 | Average reward:    -3.99 | Step Count: 2846 | Episode Q0:    -0.15
Episode:  50/5000 | Episode reward:    -5.88 | Episode steps:   60 | Average reward:     0.80 | Step Count: 2906 | Episode Q0:    -0.15
Episode:  51/5000 | Episode reward:    15.54 | Episode steps:   41 | Average reward:     2.60 | Step Count: 2947 | Episode Q0:    -0.15
Episode:  52/5000 | Episode reward:    19.65 | Episode steps:   73 | Average reward:     3.11 | Step Count: 3020 | Episode Q0:    -0.15
Episode:  53/5000 | Episode reward:    13.21 | Episode steps:   49 | Average reward:     2.72 | Step Count: 3069 | Episode Q0:    -0.15
Episode:  54/5000 | Episode reward:    34.04 | Episode steps:   81 | Average reward:     6.72 | Step Count: 3150 | Episode Q0:     0.09
Episode:  55/5000 | Episode reward:   -22.83 | Episode steps:   30 | Average reward:     4.78 | Step Count: 3180 | Episode Q0:     0.09
